source,AirportID,baseline_year,current_year,baseline_present,current_present,continuity,baseline_codes,current_codes,baseline_periods_observed,current_periods_observed
fare_primary,10397,2010,2020,True,True,retained,ATL,ATL,4,4
fare_primary,10721,2010,2020,True,True,retained,BOS,BOS,4,4
fare_primary,10821,2010,2020,True,True,retained,BWI,BWI,4,4
fare_primary,11278,2010,2020,True,True,retained,DCA,DCA,4,4
fare_primary,11292,2010,2020,True,True,retained,DEN,DEN,4,4
fare_primary,11298,2010,2020,True,True,retained,DFW,DFW,4,4
fare_primary,11433,2010,2020,True,True,retained,DTW,DTW,4,4
fare_primary,11618,2010,2020,True,True,retained,EWR,EWR,4,4
fare_primary,11697,2010,2020,True,True,retained,FLL,FLL,4,4
fare_primary,12173,2010,2020,True,True,retained,HNL,HNL,4,4
fare_primary,12266,2010,2020,True,True,retained,IAH,IAH,4,4
fare_primary,12478,2010,2020,True,True,retained,JFK,JFK,4,4
fare_primary,12889,2010,2020,True,True,retained,LAS,LAS,4,4
fare_primary,12892,2010,2020,True,True,retained,LAX,LAX,4,4
fare_primary,12953,2010,2020,True,True,retained,LGA,LGA,4,4
fare_primary,13204,2010,2020,True,True,retained,MCO,MCO,4,4
fare_primary,13232,2010,2020,True,True,retained,MDW,MDW,4,4
fare_primary,13303,2010,2020,True,True,retained,MIA,MIA,4,4
fare_primary,13487,2010,2020,True,True,retained,MSP,MSP,4,4
fare_primary,13796,2010,2020,True,True,retained,OAK,OAK,4,4
fare_primary,13930,2010,2020,True,True,retained,ORD,ORD,4,4
fare_primary,14100,2010,2020,True,True,retained,PHL,PHL,4,4
fare_primary,14107,2010,2020,True,True,retained,PHX,PHX,4,4
fare_primary,14635,2010,2020,True,True,retained,RSW,RSW,4,4
fare_primary,14679,2010,2020,True,True,retained,SAN,SAN,4,4
fare_primary,14747,2010,2020,True,True,retained,SEA,SEA,4,4
fare_primary,14771,2010,2020,True,True,retained,SFO,SFO,4,4
fare_primary,14869,2010,2020,True,True,retained,SLC,SLC,4,4
fare_primary,15016,2010,2020,True,True,retained,STL,STL,4,4
fare_primary,15304,2010,2020,True,True,retained,TPA,TPA,4,4
operations,10397,2010,2020,True,True,retained,ATL,ATL,12,12
operations,10721,2010,2020,True,True,retained,BOS,BOS,12,12
operations,10821,2010,2020,True,True,retained,BWI,BWI,12,12
operations,11278,2010,2020,True,True,retained,DCA,DCA,12,12
operations,11292,2010,2020,True,True,retained,DEN,DEN,12,12
operations,11298,2010,2020,True,True,retained,DFW,DFW,12,12
operations,11433,2010,2020,True,True,retained,DTW,DTW,12,12
operations,11618,2010,2020,True,True,retained,EWR,EWR,12,12
operations,11697,2010,2020,True,True,retained,FLL,FLL,12,12
operations,12173,2010,2020,True,True,retained,HNL,HNL,12,12
operations,12266,2010,2020,True,True,retained,IAH,IAH,12,12
operations,12478,2010,2020,True,True,retained,JFK,JFK,12,12
operations,12889,2010,2020,True,True,retained,LAS,LAS,12,12
operations,12892,2010,2020,True,True,retained,LAX,LAX,12,12
operations,12953,2010,2020,True,True,retained,LGA,LGA,12,12
operations,13204,2010,2020,True,True,retained,MCO,MCO,12,12
operations,13232,2010,2020,True,True,retained,MDW,MDW,12,12
operations,13303,2010,2020,True,True,retained,MIA,MIA,12,12
operations,13487,2010,2020,True,True,retained,MSP,MSP,12,12
operations,13796,2010,2020,True,True,retained,OAK,OAK,12,12
operations,13930,2010,2020,True,True,retained,ORD,ORD,12,12
operations,14100,2010,2020,True,True,retained,PHL,PHL,12,12
operations,14107,2010,2020,True,True,retained,PHX,PHX,12,12
operations,14635,2010,2020,True,True,retained,RSW,RSW,12,12
operations,14679,2010,2020,True,True,retained,SAN,SAN,12,12
operations,14747,2010,2020,True,True,retained,SEA,SEA,12,12
operations,14771,2010,2020,True,True,retained,SFO,SFO,12,12
operations,14869,2010,2020,True,True,retained,SLC,SLC,12,12
operations,15016,2010,2020,True,True,retained,STL,STL,12,12
operations,15304,2010,2020,True,True,retained,TPA,TPA,12,12
