Year,Month,DOT_ID_Reporting_Airline,Reporting_Airline,flights,cancelled,diverted,cancelled_and_diverted,delay_observed,delay_missing_eligible,delayed_15,delayed_60,arrival_delay_sum,cancellation_rate,diversion_rate,delay_15_rate,delay_60_rate,mean_arrival_delay
2012,1,19393,WN,90974,1005,153,0,89816,0,10092,2460,-243310.0,0.011047112361773694,0.0016817991953745027,0.11236305335352276,0.02738932929544847,-2.708982809299011
2012,1,19690,HA,5859,0,7,0,5852,0,395,72,2873.0,0.0,0.0011947431302270011,0.06749829118250171,0.012303485987696514,0.49094326725905674
2012,1,19790,DL,55421,344,96,0,54981,0,7074,1709,-127455.0,0.00620703343497952,0.0017321953772035871,0.12866262890816826,0.031083465197068078,-2.318164456812353
2012,1,19805,AA,43731,718,93,0,42920,0,6347,1542,-11822.0,0.01641855891701539,0.002126637854153804,0.1478797763280522,0.035927306616961786,-0.27544268406337374
2012,1,19930,AS,11394,402,58,0,10934,0,1932,596,33695.0,0.03528172722485519,0.0050903984553273655,0.176696542893726,0.05450887141027986,3.081671849277483
2012,1,19977,UA,41728,510,70,0,41148,0,6855,1901,26114.0,0.012222009202453988,0.0016775306748466258,0.16659375911344415,0.04619908622533295,0.6346359482842423
2012,1,20304,OO,48720,1280,139,0,47301,0,7675,2328,77326.0,0.026272577996715927,0.00285303776683087,0.16225872603116212,0.04921671846261178,1.6347645927147418
2012,1,20355,US,34256,281,29,0,33946,0,4819,927,-57325.0,0.008202942550210182,0.0008465670247547875,0.14196076120897896,0.027308077534908385,-1.6887114829434986
2012,1,20366,EV,57585,1074,149,0,56362,0,10842,4045,271809.0,0.018650690283928108,0.0025874793783103238,0.19236364926723679,0.07176821262552784,4.822557751676662
2012,1,20378,YV,11940,192,9,0,11739,0,1781,381,-1554.0,0.016080402010050253,0.0007537688442211055,0.15171650055370986,0.03245591617684641,-0.13237924865831843
2012,1,20398,MQ,36939,1055,123,0,35761,0,5567,1535,20104.0,0.028560599907956362,0.003329814017704865,0.15567238052627164,0.04292385559687928,0.5621766729118314
2012,1,20409,B6,17857,48,35,0,17774,0,3269,936,35208.0,0.002688021504172033,0.001960015680125441,0.18392033307077754,0.05266119050298188,1.9808709350737033
2012,1,20436,F9,6464,28,6,0,6430,0,1411,304,50915.0,0.004331683168316832,0.0009282178217821782,0.21944012441679628,0.04727838258164852,7.9183514774494554
2012,1,20437,FL,19163,127,31,0,19005,0,2172,466,-41435.0,0.006627354798309242,0.0016177007775400511,0.11428571428571428,0.024519863193896343,-2.1802157327019205
2012,1,21171,VX,4102,40,6,0,4056,0,677,321,21889.0,0.009751340809361287,0.0014627011214041932,0.16691321499013806,0.07914201183431953,5.396696252465484
2012,2,19393,WN,87240,875,80,0,86285,0,8584,1804,-261749.0,0.010029802842732692,0.0009170105456212746,0.099484267253868,0.020907457843194067,-3.0335400127484498
2012,2,19690,HA,5627,10,4,0,5613,0,480,110,3785.0,0.001777145903678692,0.0007108583614714769,0.08551576696953501,0.019597363263851773,0.6743274541243541
2012,2,19790,DL,52049,120,44,0,51885,0,5030,1146,-226191.0,0.0023055197986512708,0.000845357259505466,0.09694516719668497,0.02208730847065626,-4.359468054350969
2012,2,19805,AA,41841,464,62,0,41315,0,5306,1246,-33201.0,0.011089601108960111,0.0014818001481800148,0.12842793174391867,0.03015853806123684,-0.8036064383395861
2012,2,19930,AS,10783,49,27,0,10707,0,1056,245,-51946.0,0.004544189928591301,0.002503941389223778,0.0986270664051555,0.02288222658074157,-4.8515924161763335
2012,2,19977,UA,40837,316,61,0,40460,0,6295,1456,-33237.0,0.0077380806621446235,0.0014937434189582976,0.1555857637172516,0.035986159169550176,-0.8214780029658922
2012,2,20304,OO,46463,936,93,0,45434,0,6511,1700,36787.0,0.020145061661967587,0.002001592665131395,0.14330677466214728,0.03741691244442488,0.8096799753488577
2012,2,20355,US,32725,106,24,0,32595,0,3379,644,-122388.0,0.0032391138273491216,0.0007333842627960275,0.1036662064733855,0.019757631538579536,-3.7548090197883113
2012,2,20366,EV,54823,874,138,0,53811,0,10356,3712,261478.0,0.015942214034255695,0.00251719168961932,0.19245135752912973,0.0689821783650183,4.859192358439724
2012,2,20378,YV,11095,74,4,0,11017,0,1114,302,-30933.0,0.006669671022983326,0.0003605227579990987,0.10111645638558592,0.027412181174548425,-2.807751656530816
2012,2,20398,MQ,36183,695,84,0,35404,0,4827,1109,6617.0,0.019207915319348866,0.0023215322112594312,0.13634052649418144,0.03132414416450119,0.1868997853349904
