Year,Month,DOT_ID_Reporting_Airline,Reporting_Airline
2017,1,19393,WN
2017,1,19690,HA
2017,1,19790,DL
2017,1,19805,AA
2017,1,19930,AS
2017,1,19977,UA
2017,1,20304,OO
2017,1,20366,EV
2017,1,20409,B6
2017,1,20416,NK
2017,1,20436,F9
2017,1,21171,VX
2017,2,19393,WN
2017,2,19690,HA
2017,2,19790,DL
2017,2,19805,AA
2017,2,19930,AS
2017,2,19977,UA
2017,2,20304,OO
2017,2,20366,EV
2017,2,20409,B6
2017,2,20416,NK
2017,2,20436,F9
2017,2,21171,VX
2017,3,19393,WN
2017,3,19690,HA
2017,3,19790,DL
2017,3,19805,AA
2017,3,19930,AS
2017,3,19977,UA
2017,3,20304,OO
2017,3,20366,EV
2017,3,20409,B6
2017,3,20416,NK
2017,3,20436,F9
2017,3,21171,VX
2017,4,19393,WN
2017,4,19690,HA
2017,4,19790,DL
2017,4,19805,AA
2017,4,19930,AS
2017,4,19977,UA
2017,4,20304,OO
2017,4,20366,EV
2017,4,20409,B6
2017,4,20416,NK
2017,4,20436,F9
2017,4,21171,VX
2017,5,19393,WN
2017,5,19690,HA
2017,5,19790,DL
2017,5,19805,AA
2017,5,19930,AS
2017,5,19977,UA
2017,5,20304,OO
2017,5,20366,EV
2017,5,20409,B6
2017,5,20416,NK
2017,5,20436,F9
2017,5,21171,VX
2017,6,19393,WN
2017,6,19690,HA
2017,6,19790,DL
2017,6,19805,AA
2017,6,19930,AS
2017,6,19977,UA
2017,6,20304,OO
2017,6,20366,EV
2017,6,20409,B6
2017,6,20416,NK
2017,6,20436,F9
2017,6,21171,VX
2017,7,19393,WN
2017,7,19690,HA
2017,7,19790,DL
2017,7,19805,AA
2017,7,19930,AS
2017,7,19977,UA
2017,7,20304,OO
2017,7,20366,EV
2017,7,20409,B6
2017,7,20416,NK
2017,7,20436,F9
2017,7,21171,VX
2017,8,19393,WN
2017,8,19690,HA
2017,8,19790,DL
2017,8,19805,AA
2017,8,19930,AS
2017,8,19977,UA
2017,8,20304,OO
2017,8,20366,EV
2017,8,20409,B6
2017,8,20416,NK
2017,8,20436,F9
2017,8,21171,VX
2017,9,19393,WN
2017,9,19690,HA
2017,9,19790,DL
2017,9,19805,AA
2017,9,19930,AS
2017,9,19977,UA
2017,9,20304,OO
2017,9,20366,EV
2017,9,20409,B6
2017,9,20416,NK
2017,9,20436,F9
2017,9,21171,VX
2017,10,19393,WN
2017,10,19690,HA
2017,10,19790,DL
2017,10,19805,AA
2017,10,19930,AS
2017,10,19977,UA
2017,10,20304,OO
2017,10,20366,EV
2017,10,20409,B6
2017,10,20416,NK
2017,10,20436,F9
2017,10,21171,VX
2017,11,19393,WN
2017,11,19690,HA
2017,11,19790,DL
2017,11,19805,AA
2017,11,19930,AS
2017,11,19977,UA
2017,11,20304,OO
2017,11,20366,EV
2017,11,20409,B6
2017,11,20416,NK
2017,11,20436,F9
2017,11,21171,VX
2017,12,19393,WN
2017,12,19690,HA
2017,12,19790,DL
2017,12,19805,AA
2017,12,19930,AS
2017,12,19977,UA
2017,12,20304,OO
2017,12,20366,EV
2017,12,20409,B6
2017,12,20416,NK
2017,12,20436,F9
2017,12,21171,VX
