Year,Month,DOT_ID_Reporting_Airline,Reporting_Airline,OriginAirportID,DestAirportID,Origin,Dest,flights,cancelled,diverted,cancelled_and_diverted,delay_observed,delay_missing_eligible,delayed_15,delayed_60,arrival_delay_sum,cancellation_rate,diversion_rate,delay_15_rate,delay_60_rate,mean_arrival_delay
2017,1,19393,WN,10397,10721,ATL,BOS,84,2,0,0,82,0,12,4,-55.0,0.023809523809523808,0.0,0.14634146341463414,0.04878048780487805,-0.6707317073170732
2017,1,19393,WN,10397,10821,ATL,BWI,179,7,0,0,172,0,40,10,1863.0,0.03910614525139665,0.0,0.23255813953488372,0.05813953488372093,10.831395348837209
2017,1,19393,WN,10397,11278,ATL,DCA,124,3,0,0,121,0,23,7,677.0,0.024193548387096774,0.0,0.19008264462809918,0.05785123966942149,5.595041322314049
2017,1,19393,WN,10397,11292,ATL,DEN,116,3,1,0,112,0,24,7,872.0,0.02586206896551724,0.008620689655172414,0.21428571428571427,0.0625,7.785714285714286
2017,1,19393,WN,10397,11433,ATL,DTW,92,2,0,0,90,0,21,5,525.0,0.021739130434782608,0.0,0.23333333333333334,0.05555555555555555,5.833333333333333
2017,1,19393,WN,10397,11697,ATL,FLL,150,6,0,0,144,0,47,11,2284.0,0.04,0.0,0.3263888888888889,0.0763888888888889,15.86111111111111
2017,1,19393,WN,10397,12889,ATL,LAS,109,2,0,0,107,0,27,9,449.0,0.01834862385321101,0.0,0.2523364485981308,0.08411214953271028,4.196261682242991
2017,1,19393,WN,10397,12892,ATL,LAX,97,2,0,0,95,0,42,16,1964.0,0.020618556701030927,0.0,0.4421052631578947,0.16842105263157894,20.673684210526314
2017,1,19393,WN,10397,12953,ATL,LGA,151,5,1,0,145,0,42,12,1620.0,0.033112582781456956,0.006622516556291391,0.2896551724137931,0.08275862068965517,11.172413793103448
2017,1,19393,WN,10397,13204,ATL,MCO,186,5,2,0,179,0,42,15,2520.0,0.026881720430107527,0.010752688172043012,0.2346368715083799,0.08379888268156424,14.078212290502794
2017,1,19393,WN,10397,13232,ATL,MDW,178,7,1,0,170,0,28,11,771.0,0.03932584269662921,0.0056179775280898875,0.16470588235294117,0.06470588235294118,4.535294117647059
2017,1,19393,WN,10397,13487,ATL,MSP,91,2,0,0,89,0,12,4,49.0,0.02197802197802198,0.0,0.1348314606741573,0.0449438202247191,0.550561797752809
2017,1,19393,WN,10397,13796,ATL,OAK,31,0,0,0,31,0,15,3,540.0,0.0,0.0,0.4838709677419355,0.0967741935483871,17.419354838709676
2017,1,19393,WN,10397,14100,ATL,PHL,87,2,0,0,85,0,17,5,137.0,0.022988505747126436,0.0,0.2,0.058823529411764705,1.611764705882353
