route_carrier,risk_min,risk_max,demand_min,demand_max,periods,covers_both_risk_references
DEN-ATL_DL,0.04710144927536232,0.09778597785977859,0.5928348879675855,0.89588499064768,8,False
DEN-ATL_UA,0.04710144927536232,0.09778597785977859,-0.4912266978573099,-0.14094993832418634,8,False
DEN-ATL_WN,0.04710144927536232,0.09778597785977859,-0.26465485161728086,0.31979436550875207,8,False
DEN-JFK_DL,0.05434782608695652,0.08695652173913043,-0.15312047394444228,0.3139634451979587,8,False
DEN-LAX_DL,0.009057971014492754,0.0425925925925926,-0.36107385976467654,-0.014500011812447866,8,False
DEN-LAX_UA,0.009057971014492754,0.0425925925925926,0.7125825607981326,1.0786830134343806,8,False
DEN-LAX_WN,0.009057971014492754,0.0425925925925926,0.33529855204471737,0.5758215086928598,8,False
DEN-SEA_DL,0.025362318840579712,0.1213768115942029,-0.4822726290791488,0.055575184071574135,8,True
DEN-SEA_UA,0.025362318840579712,0.1213768115942029,-0.007922705024686394,0.6120083046852862,8,True
DEN-SEA_WN,0.025362318840579712,0.1213768115942029,-0.4217433497807823,0.09091126397838067,8,True
DFW-ATL_AA,0.08152173913043478,0.14391143911439114,0.6133638694855161,0.8008198788509535,8,False
DFW-ATL_DL,0.08152173913043478,0.14391143911439114,0.6284219652492045,0.8423963056966937,8,False
DFW-JFK_AA,0.08152173913043478,0.11439114391143912,-0.6905355518996723,-0.2640031735231849,8,False
DFW-JFK_DL,0.08152173913043478,0.11439114391143912,-0.9156771058765552,-0.8352498567639408,8,False
DFW-LAX_AA,0.01992753623188406,0.07011070110701106,0.9806300487522996,1.3588942406622913,8,False
DFW-LAX_DL,0.01992753623188406,0.07011070110701106,-0.943562309366091,-0.45194308964441454,8,False
DFW-SEA_AA,0.028985507246376812,0.161231884057971,0.07200362208427347,0.764219270206107,8,True
DFW-SEA_DL,0.028985507246376812,0.1539855072463768,-0.7127362618798649,-0.6571664107250541,2,True
ORD-ATL_AA,0.08152173913043478,0.13099630996309963,-1.5552835195084702,-0.16131724114862056,8,False
ORD-ATL_DL,0.08152173913043478,0.13099630996309963,0.5867322337990224,1.0481080434870993,8,False
ORD-ATL_UA,0.08152173913043478,0.13099630996309963,0.037427599120316124,0.4545513875565419,8,False
ORD-JFK_AA,0.08876811594202899,0.11594202898550723,-0.9320605851270791,-0.08385553062884998,8,False
ORD-JFK_DL,0.08876811594202899,0.11594202898550723,-3.1004791632142172,-2.20212613202673,8,False
ORD-LAX_AA,0.03985507246376811,0.07777777777777778,0.9181036384472367,1.267420374494904,8,False
ORD-LAX_UA,0.03985507246376811,0.07777777777777778,1.179883817683164,1.5505138257155036,8,False
ORD-LAX_WN,0.03985507246376811,0.0641025641025641,-4.073928308928321,-3.01532135487391,4,False
ORD-SEA_AA,0.05615942028985507,0.15579710144927536,-1.7981704581674194,-0.42327006763458197,8,True
ORD-SEA_DL,0.05615942028985507,0.15579710144927536,-0.742774770999092,0.192060090568555,8,True
ORD-SEA_UA,0.05615942028985507,0.15579710144927536,-0.39316997733672654,0.5211915412062691,8,True
