variable,raw_std,within_fe_std,within_fe_min,within_fe_max
demand_c,0.9769954885131186,0.1576275959946045,-0.5868250814929081,0.8414537583741803
risk,0.03573198501437981,0.01885279119885879,-0.05804812579126202,0.05067818866479641
interaction,0.07914419616853637,0.022918008129418303,-0.08932979183960088,0.08687815269915529
