route_carrier,Quarter,fare_mean_change,risk_change,demand_c_change
ATL-DEN_DL,1,-5.293864561313114,-0.014452644526445263,-0.03611315468771714
ATL-DEN_DL,2,-15.481392329141642,0.010989010989010992,0.03995537707759489
ATL-DEN_DL,3,-15.186548526912645,0.0018115942028985588,0.0285124264662322
ATL-DEN_DL,4,7.154917547034586,-0.009057971014492752,0.143742520578364
ATL-DEN_UA,1,9.458205316403536,-0.014452644526445263,-0.20668599566809487
ATL-DEN_UA,2,-9.63229260791681,0.010989010989010992,-0.06403875964969252
ATL-DEN_UA,3,-2.004938654236895,0.0018115942028985588,-0.04325337328537593
ATL-DEN_UA,4,15.847761661238621,-0.009057971014492752,-0.12583422761974195
ATL-DEN_WN,1,-31.25419549106536,-0.014452644526445263,0.25703616040575294
ATL-DEN_WN,2,-37.31054885778505,0.010989010989010992,0.16899764432029318
ATL-DEN_WN,3,-6.436901403354398,0.0018115942028985588,0.05812774161784784
ATL-DEN_WN,4,9.057192066566785,-0.009057971014492752,-0.04375833469806789
ATL-DFW_AA,1,30.34331697489,-0.03465217985513189,-0.04313767860001505
ATL-DFW_AA,2,14.223274860686303,0.001831501831501825,-0.04743207001601846
ATL-DFW_AA,3,2.6118123183940725,-0.01630434782608696,0.03639484432319762
ATL-DFW_AA,4,11.280698567351095,-0.0036231884057971037,-0.0014005604530318294
ATL-DFW_DL,1,32.44159474290046,-0.03465217985513189,0.029535825737569965
ATL-DFW_DL,2,23.591241507105394,0.001831501831501825,0.04650016629140907
ATL-DFW_DL,3,17.470654061399188,-0.01630434782608696,0.04091428375478223
ATL-DFW_DL,4,7.791185275241702,-0.0036231884057971037,0.15139566740902666
ATL-JFK_DL,1,12.902802932900755,-0.021661883285499534,0.042545241543287204
ATL-JFK_DL,2,3.5978191840865463,-0.0018315018315018389,-0.09250056224323622
ATL-JFK_DL,3,-11.163398783156623,0.012681159420289842,-0.054711721072870034
ATL-JFK_DL,4,0.3091165514242107,-0.0144927536231884,0.1325056970954055
ATL-LAX_AA,1,15.545628717259149,0.004100041000410004,-0.1556619805202164
ATL-LAX_AA,2,-8.167975495058613,0.001831501831501832,-0.12432094898907664
ATL-LAX_AA,3,33.750022777332816,-0.0036231884057971037,-0.43868115811669384
ATL-LAX_AA,4,27.540214928152466,-0.001811594202898545,-0.6682126741597765
ATL-LAX_DL,1,-56.38307930582789,0.004100041000410004,0.018640890640849506
ATL-LAX_DL,2,-40.90748710870804,0.001831501831501832,0.06283252129247074
ATL-LAX_DL,3,19.896260385793596,-0.0036231884057971037,-0.0660276739031147
ATL-LAX_DL,4,16.848169905041857,-0.001811594202898545,0.078171346351942
