Year,Quarter,Origin,Dest,t100_passengers,seats,departures,scheduled_departures,load_factor,scheduled_minus_performed,performed_scheduled_ratio
2023,2,DEN,JFK,53904.0,62157.0,368.0,374.0,0.8672233215888798,6.0,0.983957219251337
2023,2,DEN,LAX,240342.0,279105.0,1739.0,1755.0,0.8611167840060192,16.0,0.9908831908831909
2023,2,DEN,ORD,254001.0,290694.0,1573.0,1580.0,0.8737744845094843,7.0,0.9955696202531645
2023,2,DEN,SEA,248490.0,275814.0,1687.0,1707.0,0.9009332376166547,20.0,0.9882835383714118
2023,2,DFW,ATL,253792.0,304487.0,1620.0,1644.0,0.8335068492250901,24.0,0.9854014598540146
2023,2,DFW,DEN,223737.0,256747.0,1507.0,1534.0,0.87142985117645,27.0,0.9823989569752282
2023,2,DFW,JFK,61160.0,66888.0,447.0,457.0,0.914364310489176,10.0,0.9781181619256017
2023,2,DFW,LAX,270664.0,308627.0,1652.0,1676.0,0.8769939117445978,24.0,0.9856801909307876
2023,2,DFW,ORD,219368.0,244191.0,1444.0,1464.0,0.8983459668865765,20.0,0.9863387978142076
2023,2,DFW,SEA,157653.0,173773.0,944.0,961.0,0.9072353012263125,17.0,0.9823100936524454
2023,2,JFK,ATL,136149.0,162710.0,986.0,983.0,0.8367586503595353,-3.0,1.0030518819938963
2023,2,JFK,DEN,53308.0,60919.0,360.0,374.0,0.8750636090546463,14.0,0.9625668449197861
2023,2,JFK,DFW,57795.0,66446.0,444.0,456.0,0.8698040514101677,12.0,0.9736842105263158
2023,2,JFK,LAX,363662.0,409340.0,2522.0,2537.0,0.8884106122050129,15.0,0.9940875049270792
2023,2,JFK,ORD,59462.0,70190.0,653.0,661.0,0.8471577147741843,8.0,0.9878971255673222
2023,2,JFK,SEA,123313.0,137858.0,775.0,793.0,0.8944928839820685,18.0,0.9773013871374527
2023,2,LAX,ATL,242769.0,269053.0,1350.0,1365.0,0.9023092104529591,15.0,0.989010989010989
