Year,Quarter,Origin,Dest,RPCarrier,passengers,records,fare_mean,fare_variance,sample,t100_passengers,seats,departures,scheduled_departures,load_factor,scheduled_minus_performed,performed_scheduled_ratio,Origin_risk,Origin_fixed,Dest_risk,Dest_fixed,risk,fixed_risk,route,route_carrier,route_carrier_season,period,pair
2023,1,ATL,DEN,DL,4511.0,1184,268.1732830857903,21774.853986938047,primary,213671.0,245828.0,1390.0,1399.0,0.8691890264737947,9.0,0.993566833452466,0.18081180811808117,0.18081180811808117,0.014760147601476014,0.014760147601476014,0.09778597785977859,0.09778597785977859,ATL-DEN,ATL-DEN_DL,ATL-DEN_DL_Q1,2023Q1,ATL-DEN
2023,1,ATL,DEN,UA,1371.0,728,235.57159737417942,15468.81715988458,primary,213671.0,245828.0,1390.0,1399.0,0.8691890264737947,9.0,0.993566833452466,0.18081180811808117,0.18081180811808117,0.014760147601476014,0.014760147601476014,0.09778597785977859,0.09778597785977859,ATL-DEN,ATL-DEN_UA,ATL-DEN_UA_Q1,2023Q1,ATL-DEN
2023,1,ATL,DEN,WN,1491.0,654,204.46340710932262,7324.269498519032,primary,213671.0,245828.0,1390.0,1399.0,0.8691890264737947,9.0,0.993566833452466,0.18081180811808117,0.18081180811808117,0.014760147601476014,0.014760147601476014,0.09778597785977859,0.09778597785977859,ATL-DEN,ATL-DEN_WN,ATL-DEN_WN_Q1,2023Q1,ATL-DEN
2023,1,ATL,DFW,AA,3837.0,1151,221.59092520198072,10594.378355385852,primary,212729.0,264567.0,1397.0,1431.0,0.8040647548636073,34.0,0.976240391334731,0.18081180811808117,0.18081180811808117,0.1070110701107011,0.1070110701107011,0.14391143911439114,0.14391143911439114,ATL-DFW,ATL-DFW_AA,ATL-DFW_AA_Q1,2023Q1,ATL-DFW
2023,1,ATL,DFW,DL,3803.0,1322,243.7589771233237,14793.071696008687,primary,212729.0,264567.0,1397.0,1431.0,0.8040647548636073,34.0,0.976240391334731,0.18081180811808117,0.18081180811808117,0.1070110701107011,0.1070110701107011,0.14391143911439114,0.14391143911439114,ATL-DFW,ATL-DFW_DL,ATL-DFW_DL_Q1,2023Q1,ATL-DFW
2023,1,ATL,JFK,DL,2899.0,743,187.59405657123148,11111.79684439279,primary,126894.0,165000.0,957.0,948.0,0.7690545454545454,-9.0,1.009493670886076,0.18081180811808117,0.18081180811808117,0.12177121771217712,0.12177121771217712,0.15129151291512916,0.15129151291512916,ATL-JFK,ATL-JFK_DL,ATL-JFK_DL_Q1,2023Q1,ATL-JFK
2023,1,ATL,LAX,AA,1214.0,669,294.18433278418456,34789.03739506552,primary,206550.0,238625.0,1202.0,1214.0,0.8655840754321634,12.0,0.9901153212520593,0.18081180811808117,0.18081180811808117,0.033210332103321034,0.033210332103321034,0.1070110701107011,0.1070110701107011,ATL-LAX,ATL-LAX_AA,ATL-LAX_AA_Q1,2023Q1,ATL-LAX
2023,1,ATL,LAX,DL,5421.0,1729,495.82124515772,95608.24694157811,primary,206550.0,238625.0,1202.0,1214.0,0.8655840754321634,12.0,0.9901153212520593,0.18081180811808117,0.18081180811808117,0.033210332103321034,0.033210332103321034,0.1070110701107011,0.1070110701107011,ATL-LAX,ATL-LAX_DL,ATL-LAX_DL_Q1,2023Q1,ATL-LAX
2023,1,ATL,LAX,WN,100.0,91,253.6789,12916.561865790012,primary,206550.0,238625.0,1202.0,1214.0,0.8655840754321634,12.0,0.9901153212520593,0.18081180811808117,0.18081180811808117,0.033210332103321034,0.033210332103321034,0.1070110701107011,0.1070110701107011,ATL-LAX,ATL-LAX_WN,ATL-LAX_WN_Q1,2023Q1,ATL-LAX
2023,1,ATL,ORD,AA,753.0,369,166.60996015936254,6349.570084327766,primary,193422.0,250493.0,1523.0,1534.0,0.7721652900480253,11.0,0.9928292046936115,0.18081180811808117,0.18081180811808117,0.08118081180811808,0.08118081180811808,0.13099630996309963,0.13099630996309963,ATL-ORD,ATL-ORD_AA,ATL-ORD_AA_Q1,2023Q1,ATL-ORD
2023,1,ATL,ORD,DL,3968.0,1270,206.41266129032257,11606.024592514317,primary,193422.0,250493.0,1523.0,1534.0,0.7721652900480253,11.0,0.9928292046936115,0.18081180811808117,0.18081180811808117,0.08118081180811808,0.08118081180811808,0.13099630996309963,0.13099630996309963,ATL-ORD,ATL-ORD_DL,ATL-ORD_DL_Q1,2023Q1,ATL-ORD
2023,1,ATL,ORD,UA,1946.0,751,187.2772918807811,6815.268053251901,primary,193422.0,250493.0,1523.0,1534.0,0.7721652900480253,11.0,0.9928292046936115,0.18081180811808117,0.18081180811808117,0.08118081180811808,0.08118081180811808,0.13099630996309963,0.13099630996309963,ATL-ORD,ATL-ORD_UA,ATL-ORD_UA_Q1,2023Q1,ATL-ORD
2023,1,ATL,SEA,DL,1915.0,770,359.2222402088773,38965.548589080674,primary,108942.0,124596.0,671.0,677.0,0.8743619377829144,6.0,0.9911373707533235,0.18081180811808117,0.18081180811808117,0.2066420664206642,0.2066420664206642,0.19372693726937268,0.19372693726937268,ATL-SEA,ATL-SEA_DL,ATL-SEA_DL_Q1,2023Q1,ATL-SEA
2023,1,DEN,ATL,DL,4379.0,1183,272.96303950673666,22865.345783887708,primary,211130.0,246736.0,1393.0,1403.0,0.8556919136242785,10.0,0.992872416250891,0.014760147601476014,0.014760147601476014,0.18081180811808117,0.18081180811808117,0.09778597785977859,0.09778597785977859,DEN-ATL,DEN-ATL_DL,DEN-ATL_DL_Q1,2023Q1,ATL-DEN
2023,1,DEN,ATL,UA,1461.0,771,236.0764065708419,14349.58509543771,primary,211130.0,246736.0,1393.0,1403.0,0.8556919136242785,10.0,0.992872416250891,0.014760147601476014,0.014760147601476014,0.18081180811808117,0.18081180811808117,0.09778597785977859,0.09778597785977859,DEN-ATL,DEN-ATL_UA,DEN-ATL_UA_Q1,2023Q1,ATL-DEN
2023,1,DEN,ATL,WN,1534.0,674,202.1420143415906,7081.357600310097,primary,211130.0,246736.0,1393.0,1403.0,0.8556919136242785,10.0,0.992872416250891,0.014760147601476014,0.014760147601476014,0.18081180811808117,0.18081180811808117,0.09778597785977859,0.09778597785977859,DEN-ATL,DEN-ATL_WN,DEN-ATL_WN_Q1,2023Q1,ATL-DEN
2023,1,DEN,DFW,AA,3818.0,1061,225.09010214772132,12102.429056589877,primary,196059.0,230347.0,1280.0,1312.0,0.8511463140392538,32.0,0.975609756097561,0.014760147601476014,0.014760147601476014,0.1070110701107011,0.1070110701107011,0.060885608856088555,0.060885608856088555,DEN-DFW,DEN-DFW_AA,DEN-DFW_AA_Q1,2023Q1,DEN-DFW
2023,1,DEN,DFW,UA,2328.0,1015,194.0746821305842,10894.35876665153,primary,196059.0,230347.0,1280.0,1312.0,0.8511463140392538,32.0,0.975609756097561,0.014760147601476014,0.014760147601476014,0.1070110701107011,0.1070110701107011,0.060885608856088555,0.060885608856088555,DEN-DFW,DEN-DFW_UA,DEN-DFW_UA_Q1,2023Q1,DEN-DFW
2023,1,DEN,JFK,DL,1715.0,609,236.3602857142857,25912.384668548097,primary,49539.0,64193.0,391.0,403.0,0.7717196579066253,12.0,0.9702233250620348,0.014760147601476014,0.014760147601476014,0.12177121771217712,0.12177121771217712,0.06826568265682657,0.06826568265682657,DEN-JFK,DEN-JFK_DL,DEN-JFK_DL_Q1,2023Q1,DEN-JFK
2023,1,DEN,LAX,DL,1696.0,546,170.06528891509433,10224.259010883517,primary,237114.0,294771.0,1780.0,1788.0,0.8044007042755223,8.0,0.9955257270693513,0.014760147601476014,0.014760147601476014,0.033210332103321034,0.033210332103321034,0.023985239852398525,0.023985239852398525,DEN-LAX,DEN-LAX_DL,DEN-LAX_DL_Q1,2023Q1,DEN-LAX
2023,1,DEN,LAX,UA,4652.0,1305,177.74440240756664,12673.969290593013,primary,237114.0,294771.0,1780.0,1788.0,0.8044007042755223,8.0,0.9955257270693513,0.014760147601476014,0.014760147601476014,0.033210332103321034,0.033210332103321034,0.023985239852398525,0.023985239852398525,DEN-LAX,DEN-LAX_UA,DEN-LAX_UA_Q1,2023Q1,DEN-LAX
2023,1,DEN,LAX,WN,2795.0,887,144.05335599284436,5251.349520401,primary,237114.0,294771.0,1780.0,1788.0,0.8044007042755223,8.0,0.9955257270693513,0.014760147601476014,0.014760147601476014,0.033210332103321034,0.033210332103321034,0.023985239852398525,0.023985239852398525,DEN-LAX,DEN-LAX_WN,DEN-LAX_WN_Q1,2023Q1,DEN-LAX
2023,1,DEN,ORD,AA,1452.0,504,202.1806955922865,10373.38135798723,primary,228916.0,300072.0,1475.0,1503.0,0.7628702444746595,28.0,0.9813705921490352,0.014760147601476014,0.014760147601476014,0.08118081180811808,0.08118081180811808,0.047970479704797044,0.047970479704797044,DEN-ORD,DEN-ORD_AA,DEN-ORD_AA_Q1,2023Q1,DEN-ORD
2023,1,DEN,ORD,UA,6244.0,1470,189.96466367713006,10348.58572940321,primary,228916.0,300072.0,1475.0,1503.0,0.7628702444746595,28.0,0.9813705921490352,0.014760147601476014,0.014760147601476014,0.08118081180811808,0.08118081180811808,0.047970479704797044,0.047970479704797044,DEN-ORD,DEN-ORD_UA,DEN-ORD_UA_Q1,2023Q1,DEN-ORD
2023,1,DEN,ORD,WN,1906.0,683,161.55547219307448,4483.71398039089,primary,228916.0,300072.0,1475.0,1503.0,0.7628702444746595,28.0,0.9813705921490352,0.014760147601476014,0.014760147601476014,0.08118081180811808,0.08118081180811808,0.047970479704797044,0.047970479704797044,DEN-ORD,DEN-ORD_WN,DEN-ORD_WN_Q1,2023Q1,DEN-ORD
2023,1,DEN,SEA,DL,1444.0,453,169.00225761772853,9234.089211246654,primary,179512.0,225607.0,1379.0,1401.0,0.7956845310650822,22.0,0.9842969307637401,0.014760147601476014,0.014760147601476014,0.2066420664206642,0.2066420664206642,0.11070110701107011,0.11070110701107011,DEN-SEA,DEN-SEA_DL,DEN-SEA_DL_Q1,2023Q1,DEN-SEA
2023,1,DEN,SEA,UA,1992.0,830,197.35901104417673,13509.280258911516,primary,179512.0,225607.0,1379.0,1401.0,0.7956845310650822,22.0,0.9842969307637401,0.014760147601476014,0.014760147601476014,0.2066420664206642,0.2066420664206642,0.11070110701107011,0.11070110701107011,DEN-SEA,DEN-SEA_UA,DEN-SEA_UA_Q1,2023Q1,DEN-SEA
2023,1,DEN,SEA,WN,1311.0,622,156.81890922959573,6745.238317727075,primary,179512.0,225607.0,1379.0,1401.0,0.7956845310650822,22.0,0.9842969307637401,0.014760147601476014,0.014760147601476014,0.2066420664206642,0.2066420664206642,0.11070110701107011,0.11070110701107011,DEN-SEA,DEN-SEA_WN,DEN-SEA_WN_Q1,2023Q1,DEN-SEA
2023,1,DFW,ATL,AA,3753.0,1091,215.6375459632294,9479.298023207659,primary,211772.0,263722.0,1394.0,1429.0,0.8030122629132193,35.0,0.9755073477956613,0.1070110701107011,0.1070110701107011,0.18081180811808117,0.18081180811808117,0.14391143911439114,0.14391143911439114,DFW-ATL,DFW-ATL_AA,DFW-ATL_AA_Q1,2023Q1,ATL-DFW
2023,1,DFW,ATL,DL,3747.0,1284,247.36788897784893,14718.98383629619,primary,211772.0,263722.0,1394.0,1429.0,0.8030122629132193,35.0,0.9755073477956613,0.1070110701107011,0.1070110701107011,0.18081180811808117,0.18081180811808117,0.14391143911439114,0.14391143911439114,DFW-ATL,DFW-ATL_DL,DFW-ATL_DL_Q1,2023Q1,ATL-DFW
2023,1,DFW,DEN,AA,3893.0,1034,219.239450295402,9978.003276861964,primary,190911.0,227937.0,1285.0,1317.0,0.8375603785256452,32.0,0.9757023538344722,0.1070110701107011,0.1070110701107011,0.014760147601476014,0.014760147601476014,0.060885608856088555,0.060885608856088555,DFW-DEN,DFW-DEN_AA,DFW-DEN_AA_Q1,2023Q1,DEN-DFW
2023,1,DFW,DEN,UA,2147.0,972,190.97148579413135,11288.223863698331,primary,190911.0,227937.0,1285.0,1317.0,0.8375603785256452,32.0,0.9757023538344722,0.1070110701107011,0.1070110701107011,0.014760147601476014,0.014760147601476014,0.060885608856088555,0.060885608856088555,DFW-DEN,DFW-DEN_UA,DFW-DEN_UA_Q1,2023Q1,DEN-DFW
2023,1,DFW,JFK,AA,1317.0,686,179.87773728170083,16490.677229959834,primary,59862.0,77686.0,513.0,525.0,0.7705635507041165,12.0,0.9771428571428571,0.1070110701107011,0.1070110701107011,0.12177121771217712,0.12177121771217712,0.11439114391143912,0.11439114391143912,DFW-JFK,DFW-JFK_AA,DFW-JFK_AA_Q1,2023Q1,DFW-JFK
2023,1,DFW,JFK,DL,826.0,459,190.5806053268765,15626.042270093632,primary,59862.0,77686.0,513.0,525.0,0.7705635507041165,12.0,0.9771428571428571,0.1070110701107011,0.1070110701107011,0.12177121771217712,0.12177121771217712,0.11439114391143912,0.11439114391143912,DFW-JFK,DFW-JFK_DL,DFW-JFK_DL_Q1,2023Q1,DFW-JFK
2023,1,DFW,LAX,AA,6136.0,1620,302.6133018252933,30419.84154516057,primary,234740.0,290239.0,1516.0,1550.0,0.808781728161963,34.0,0.9780645161290322,0.1070110701107011,0.1070110701107011,0.033210332103321034,0.033210332103321034,0.07011070110701106,0.07011070110701106,DFW-LAX,DFW-LAX_AA,DFW-LAX_AA_Q1,2023Q1,DFW-LAX
2023,1,DFW,LAX,DL,1029.0,507,268.74028182701653,30421.72311158238,primary,234740.0,290239.0,1516.0,1550.0,0.808781728161963,34.0,0.9780645161290322,0.1070110701107011,0.1070110701107011,0.033210332103321034,0.033210332103321034,0.07011070110701106,0.07011070110701106,DFW-LAX,DFW-LAX_DL,DFW-LAX_DL_Q1,2023Q1,DFW-LAX
2023,1,DFW,ORD,AA,4915.0,1338,270.138018311292,11836.490819999643,primary,182156.0,223767.0,1261.0,1292.0,0.814043178842278,31.0,0.9760061919504643,0.1070110701107011,0.1070110701107011,0.08118081180811808,0.08118081180811808,0.0940959409594096,0.0940959409594096,DFW-ORD,DFW-ORD_AA,DFW-ORD_AA_Q1,2023Q1,DFW-ORD
2023,1,DFW,ORD,UA,2773.0,1022,214.92503786512802,11441.361098925729,primary,182156.0,223767.0,1261.0,1292.0,0.814043178842278,31.0,0.9760061919504643,0.1070110701107011,0.1070110701107011,0.08118081180811808,0.08118081180811808,0.0940959409594096,0.0940959409594096,DFW-ORD,DFW-ORD_UA,DFW-ORD_UA_Q1,2023Q1,DFW-ORD
2023,1,DFW,SEA,AA,2148.0,798,297.8336545623836,27299.035200377897,primary,125832.0,153927.0,835.0,866.0,0.8174784150928687,31.0,0.964203233256351,0.1070110701107011,0.1070110701107011,0.2066420664206642,0.2066420664206642,0.15682656826568264,0.15682656826568264,DFW-SEA,DFW-SEA_AA,DFW-SEA_AA_Q1,2023Q1,DFW-SEA
2023,1,JFK,ATL,DL,2865.0,742,190.35985689354274,11976.348795197671,primary,123491.0,162621.0,943.0,942.0,0.7593791699718978,-1.0,1.0010615711252655,0.12177121771217712,0.12177121771217712,0.18081180811808117,0.18081180811808117,0.15129151291512916,0.15129151291512916,JFK-ATL,JFK-ATL_DL,JFK-ATL_DL_Q1,2023Q1,ATL-JFK
2023,1,JFK,DEN,DL,1793.0,666,232.3220524261015,23135.589369351415,primary,52135.0,65249.0,397.0,404.0,0.7990160768747414,7.0,0.9826732673267327,0.12177121771217712,0.12177121771217712,0.014760147601476014,0.014760147601476014,0.06826568265682657,0.06826568265682657,JFK-DEN,JFK-DEN_DL,JFK-DEN_DL_Q1,2023Q1,DEN-JFK
2023,1,JFK,DFW,AA,1445.0,755,177.6064152249135,14998.437333862188,primary,60467.0,78344.0,514.0,525.0,0.7718140508526499,11.0,0.979047619047619,0.12177121771217712,0.12177121771217712,0.1070110701107011,0.1070110701107011,0.11439114391143912,0.11439114391143912,JFK-DFW,JFK-DFW_AA,JFK-DFW_AA_Q1,2023Q1,DFW-JFK
2023,1,JFK,DFW,DL,802.0,461,199.029825436409,15455.817662563037,primary,60467.0,78344.0,514.0,525.0,0.7718140508526499,11.0,0.979047619047619,0.12177121771217712,0.12177121771217712,0.1070110701107011,0.1070110701107011,0.11439114391143912,0.11439114391143912,JFK-DFW,JFK-DFW_DL,JFK-DFW_DL_Q1,2023Q1,DFW-JFK
2023,1,JFK,LAX,AA,4315.0,1880,485.95158053302436,171374.54984241497,primary,303279.0,379244.0,2384.0,2395.0,0.7996936009534759,11.0,0.9954070981210856,0.12177121771217712,0.12177121771217712,0.033210332103321034,0.033210332103321034,0.07749077490774908,0.07749077490774908,JFK-LAX,JFK-LAX_AA,JFK-LAX_AA_Q1,2023Q1,JFK-LAX
2023,1,JFK,LAX,DL,9536.0,2285,429.4831606543624,155044.16384061848,primary,303279.0,379244.0,2384.0,2395.0,0.7996936009534759,11.0,0.9954070981210856,0.12177121771217712,0.12177121771217712,0.033210332103321034,0.033210332103321034,0.07749077490774908,0.07749077490774908,JFK-LAX,JFK-LAX_DL,JFK-LAX_DL_Q1,2023Q1,JFK-LAX
2023,1,JFK,ORD,AA,784.0,376,166.4236224489796,4618.802393765618,primary,48627.0,75423.0,704.0,705.0,0.6447237580048526,1.0,0.9985815602836879,0.12177121771217712,0.12177121771217712,0.08118081180811808,0.08118081180811808,0.1014760147601476,0.1014760147601476,JFK-ORD,JFK-ORD_AA,JFK-ORD_AA_Q1,2023Q1,JFK-ORD
2023,1,JFK,ORD,DL,47.0,45,151.01744680851064,3274.3126402897215,primary,48627.0,75423.0,704.0,705.0,0.6447237580048526,1.0,0.9985815602836879,0.12177121771217712,0.12177121771217712,0.08118081180811808,0.08118081180811808,0.1014760147601476,0.1014760147601476,JFK-ORD,JFK-ORD_DL,JFK-ORD_DL_Q1,2023Q1,JFK-ORD
2023,1,JFK,SEA,DL,2222.0,892,276.9143204320432,47696.92960428615,primary,93015.0,117963.0,658.0,665.0,0.7885099565117876,7.0,0.9894736842105263,0.12177121771217712,0.12177121771217712,0.2066420664206642,0.2066420664206642,0.16420664206642066,0.16420664206642066,JFK-SEA,JFK-SEA_DL,JFK-SEA_DL_Q1,2023Q1,JFK-SEA
