Year,Quarter,OriginAirportID,DestAirportID,RPCarrier,sample,passengers,records,fare_total,fare_square_total,fare_mean,fare_variance,low_support
2019,1,10397,10721,9E,broad_fare_bounds,40.0,40,7796.18,1970701.5086,194.9045,11279.773594749997,False
2019,1,10397,10721,9E,primary,40.0,40,7796.18,1970701.5086,194.9045,11279.773594749997,False
2019,1,10397,10721,B6,broad_fare_bounds,3074.0,598,369173.58,77717187.3634,120.09550422901758,10859.17375578023,False
2019,1,10397,10721,B6,primary,3072.0,596,369153.58,77716987.3634,120.16718098958334,10858.347103706825,False
2019,1,10397,10721,DL,broad_fare_bounds,6362.0,1404,1031068.07,246908360.6543,162.06665671172587,12544.263707511513,False
2019,1,10397,10721,DL,primary,6338.0,1400,1030732.07,246903656.6543,162.627338277059,12508.432255190397,False
2019,1,10397,10721,G7,broad_fare_bounds,1.0,1,64.26,4129.347600000001,64.26,0.0,True
2019,1,10397,10721,G7,primary,1.0,1,64.26,4129.347600000001,64.26,0.0,True
2019,1,10397,10721,NK,broad_fare_bounds,443.0,143,16798.3,1102845.64,37.91941309255079,1051.6116547345462,False
2019,1,10397,10721,NK,primary,293.0,120,14384.62,1063230.0244,49.0942662116041,1218.5244394786191,False
2019,1,10397,10721,OO,broad_fare_bounds,30.0,30,6248.48,1553055.9701999999,208.28266666666664,8386.863106222227,False
2019,1,10397,10721,OO,primary,30.0,30,6248.48,1553055.9701999999,208.28266666666664,8386.863106222227,False
2019,1,10397,10721,UA,broad_fare_bounds,56.0,36,20016.11,8520046.5723,357.4305357142857,24387.100930070155,False
2019,1,10397,10721,UA,primary,56.0,36,20016.11,8520046.5723,357.4305357142857,24387.100930070155,False
2019,1,10397,10721,WN,broad_fare_bounds,894.0,319,109870.41,22227126.7999,122.89755033557047,9758.750063238514,False
2019,1,10397,10721,WN,primary,891.0,317,109837.41,22226763.7999,123.27430976430976,9749.307402750286,False
2019,1,10397,10721,YX,broad_fare_bounds,26.0,26,5580.51,1424733.2747,214.63500000000002,8729.250417307681,True
2019,1,10397,10721,YX,primary,26.0,26,5580.51,1424733.2747,214.63500000000002,8729.250417307681,True
2019,1,10397,10821,9E,broad_fare_bounds,24.0,23,4419.79,1019653.6533,184.15791666666667,8571.430616493053,True
2019,1,10397,10821,9E,primary,24.0,23,4419.79,1019653.6533,184.15791666666667,8571.430616493053,True
2019,1,10397,10821,DL,broad_fare_bounds,3338.0,1079,619251.2,143146872.8136,185.51563810665067,8467.972228067963,False
2019,1,10397,10821,DL,primary,3330.0,1076,619138.7,143145290.5636,185.92753753753752,8417.524528050402,False
2019,1,10397,10821,G7,broad_fare_bounds,2.0,2,415.05999999999995,91778.74599999998,207.52999999999997,2820.6721000000034,True
2019,1,10397,10821,G7,primary,2.0,2,415.05999999999995,91778.74599999998,207.52999999999997,2820.6721000000034,True
2019,1,10397,10821,NK,broad_fare_bounds,2178.0,462,107530.67,11174782.8511,49.371290174471994,2693.229999942429,False
2019,1,10397,10821,NK,primary,1343.0,427,94599.73,10971866.9753,70.43911392405063,3208.0013526772664,False
2019,1,10397,10821,OO,broad_fare_bounds,29.0,28,5593.97,1261564.2157,192.8955172413793,6293.533762663501,True
2019,1,10397,10821,OO,primary,29.0,28,5593.97,1261564.2157,192.8955172413793,6293.533762663501,True
2019,1,10397,10821,WN,broad_fare_bounds,2974.0,729,462664.77,91128599.3409,155.56986213853398,6439.779709362294,False
2019,1,10397,10821,WN,primary,2971.0,728,462631.77,91128236.3409,155.7158431504544,6425.156582686948,False
2019,1,10397,11278,9E,broad_fare_bounds,39.0,33,6948.2699999999995,1431513.0407,178.1607692307692,4964.202889151882,False
2019,1,10397,11278,9E,primary,39.0,33,6948.2699999999995,1431513.0407,178.1607692307692,4964.202889151882,False
2019,1,10397,11278,AA,broad_fare_bounds,93.0,79,20040.57,5113640.8569,215.49,8549.44545806451,False
2019,1,10397,11278,AA,primary,93.0,79,20040.57,5113640.8569,215.49,8549.44545806451,False
2019,1,10397,11278,DL,broad_fare_bounds,5686.0,1416,1276224.14,348009888.052,224.45025325360533,10826.777457023454,False
2019,1,10397,11278,DL,primary,5659.0,1410,1275845.73,348004584.4855,225.45427283972433,10666.144755731177,False
2019,1,10397,11278,G7,broad_fare_bounds,4.0,4,903.88,210768.285,225.97,1629.6303499999995,True
2019,1,10397,11278,G7,primary,4.0,4,903.88,210768.285,225.97,1629.6303499999995,True
2019,1,10397,11278,MQ,broad_fare_bounds,2.0,2,308.71,65287.23009999999,154.355,8818.149024999999,True
2019,1,10397,11278,MQ,primary,2.0,2,308.71,65287.23009999999,154.355,8818.149024999999,True
2019,1,10397,11278,OH,broad_fare_bounds,185.0,135,40262.05,10315404.8069,217.63270270270272,8394.951616479178,False
2019,1,10397,11278,OH,primary,184.0,134,40251.05,10315283.8069,218.75570652173914,8207.265901674735,False
2019,1,10397,11278,OO,broad_fare_bounds,26.0,26,5353.7699999999995,1212423.3133,205.91423076923076,4230.995462869832,True
2019,1,10397,11278,OO,primary,26.0,26,5353.7699999999995,1212423.3133,205.91423076923076,4230.995462869832,True
2019,1,10397,11278,WN,broad_fare_bounds,1714.0,431,273322.16,52019438.242,159.46450408401398,4920.802533505532,False
2019,1,10397,11278,WN,primary,1712.0,430,273300.16,52019196.242,159.63794392523363,4900.771393202467,False
2019,1,10397,11278,YX,broad_fare_bounds,985.0,463,205384.97,50465685.5541,208.51265989847715,7756.669194143215,False
2019,1,10397,11278,YX,primary,981.0,461,205336.97,50465097.5541,209.31393476044852,7630.181867086467,False
2019,1,10397,11292,9E,broad_fare_bounds,8.0,8,1795.09,521914.7633,224.38625,14890.156223437501,True
2019,1,10397,11292,9E,primary,8.0,8,1795.09,521914.7633,224.38625,14890.156223437501,True
2019,1,10397,11292,CP,broad_fare_bounds,2.0,2,624.35,220374.44929999998,312.175,12733.994024999978,True
2019,1,10397,11292,CP,primary,2.0,2,624.35,220374.44929999998,312.175,12733.994024999978,True
2019,1,10397,11292,DL,broad_fare_bounds,3944.0,1120,874592.6,239665038.9116,221.75268762677484,11592.743225940962,False
2019,1,10397,11292,DL,primary,3890.0,1115,873836.6,239654454.9116,224.63665809768636,11146.20086482141,False
2019,1,10397,11292,EV,broad_fare_bounds,1.0,1,377.5,142506.25,377.5,0.0,True
2019,1,10397,11292,EV,primary,1.0,1,377.5,142506.25,377.5,0.0,True
2019,1,10397,11292,F9,broad_fare_bounds,1185.0,200,97284.39,10537542.0823,82.09653164556963,2152.6000675485757,False
2019,1,10397,11292,F9,primary,1181.0,199,97212.39,10536246.0823,82.31362404741745,2145.928839194815,False
2019,1,10397,11292,G7,broad_fare_bounds,214.0,174,51718.34,16013437.5734,241.6744859813084,16422.59036492271,False
2019,1,10397,11292,G7,primary,214.0,174,51718.34,16013437.5734,241.6744859813084,16422.59036492271,False
2019,1,10397,11292,OO,broad_fare_bounds,192.0,155,38599.63,11655078.1259,201.03973958333333,20286.555013994686,False
2019,1,10397,11292,OO,primary,192.0,155,38599.63,11655078.1259,201.03973958333333,20286.555013994686,False
2019,1,10397,11292,UA,broad_fare_bounds,855.0,566,172947.63,46994827.3499,202.2779298245614,14048.349456650052,False
2019,1,10397,11292,UA,primary,855.0,566,172947.63,46994827.3499,202.2779298245614,14048.349456650052,False
2019,1,10397,11292,WN,broad_fare_bounds,2657.0,760,426020.09,84901754.1967,160.33876176138503,6245.472518112983,False
2019,1,10397,11292,WN,primary,2655.0,758,425998.09,84901512.1967,160.4512580037665,6233.364500564316,False
2019,1,10397,11292,YX,broad_fare_bounds,207.0,162,46355.07,14785587.7551,223.93753623188405,21279.94003595884,False
2019,1,10397,11292,YX,primary,207.0,162,46355.07,14785587.7551,223.93753623188405,21279.94003595884,False
2019,1,10397,11298,9E,broad_fare_bounds,12.0,12,2749.12,863975.5652000001,229.09333333333333,19514.20838888889,True
2019,1,10397,11298,9E,primary,11.0,11,2730.52,863629.6052000001,248.2290909090909,16894.100717355388,True
2019,1,10397,11298,AA,broad_fare_bounds,4489.0,1133,881782.84,221559213.2708,196.43190911116062,10770.533880182425,False
2019,1,10397,11298,AA,primary,4483.0,1131,881716.84,221558487.2708,196.68008922596474,10738.866943467401,False
2019,1,10397,11298,DL,broad_fare_bounds,4303.0,1342,950362.51,256776795.6863,220.86044852428537,10894.56320405168,False
