Year,Quarter,OriginAirportID,DestAirportID,RPCarrier,sample,passengers,records,fare_total,fare_square_total,fare_mean,fare_variance,low_support
2024,1,10397,10721,9E,broad_fare_bounds,5.0,5,1453.53,468330.05309999996,290.706,9156.032183999981,True
2024,1,10397,10721,9E,primary,5.0,5,1453.53,468330.05309999996,290.706,9156.032183999981,True
2024,1,10397,10721,B6,broad_fare_bounds,1640.0,504,313827.25,69287603.7297,191.35807926829267,5630.624358322988,False
2024,1,10397,10721,B6,primary,1640.0,504,313827.25,69287603.7297,191.35807926829267,5630.624358322988,False
2024,1,10397,10721,DL,broad_fare_bounds,4930.0,1430,1445375.84,529367741.7054,293.1796835699797,21422.497017141242,False
2024,1,10397,10721,DL,primary,4867.0,1423,1444438.34,529353787.9554,296.7820710910212,20684.278990532854,False
2024,1,10397,10721,NK,broad_fare_bounds,945.0,361,100493.26,14419391.281,106.34207407407406,3949.9783937934553,False
2024,1,10397,10721,NK,primary,945.0,361,100493.26,14419391.281,106.34207407407406,3949.9783937934553,False
2024,1,10397,10721,OO,broad_fare_bounds,1.0,1,433.68,188078.3424,433.68,0.0,True
2024,1,10397,10721,OO,primary,1.0,1,433.68,188078.3424,433.68,0.0,True
2024,1,10397,10721,UA,broad_fare_bounds,1.0,1,250.01,62505.0001,250.01,0.0,True
2024,1,10397,10721,UA,primary,1.0,1,250.01,62505.0001,250.01,0.0,True
2024,1,10397,10721,WN,broad_fare_bounds,12.0,11,1653.6,267933.0232,137.79999999999998,3338.9119333333365,True
2024,1,10397,10721,WN,primary,12.0,11,1653.6,267933.0232,137.79999999999998,3338.9119333333365,True
2024,1,10397,10721,YX,broad_fare_bounds,53.0,53,14787.58,4822462.8138,279.0109433962264,13142.757876468473,False
2024,1,10397,10721,YX,primary,53.0,53,14787.58,4822462.8138,279.0109433962264,13142.757876468473,False
2024,1,10397,10821,9E,broad_fare_bounds,25.0,25,5795.23,1744491.2195000001,231.80919999999998,16044.143575360016,True
2024,1,10397,10821,9E,primary,24.0,24,5778.24,1744202.5594000001,240.76,14709.72904166668,True
2024,1,10397,10821,DL,broad_fare_bounds,3095.0,1085,641854.22,169620017.0526,207.38423909531502,11796.306309461412,False
2024,1,10397,10821,DL,primary,3067.0,1075,641442.8,169613945.7082,209.1433974567982,11561.923456797675,False
2024,1,10397,10821,F9,broad_fare_bounds,1113.0,427,93022.66,10546763.7844,83.57831087151843,2490.644194810814,False
2024,1,10397,10821,F9,primary,1084.0,421,92495.21,10537160.8319,85.32768450184503,2439.814331262083,False
2024,1,10397,10821,NK,broad_fare_bounds,1398.0,446,103579.36,11399922.9166,74.09110157367668,2664.959967026879,False
2024,1,10397,10821,NK,primary,1374.0,437,103143.11,11391925.3541,75.06776564774381,2655.8970483555595,False
2024,1,10397,10821,OO,broad_fare_bounds,24.0,23,4570.61,989146.2962999999,190.44208333333333,4946.241908159718,True
2024,1,10397,10821,OO,primary,24.0,23,4570.61,989146.2962999999,190.44208333333333,4946.241908159718,True
2024,1,10397,10821,WN,broad_fare_bounds,2915.0,1056,478949.39,97958233.9421,164.30510806174956,6608.714463821943,False
2024,1,10397,10821,WN,primary,2912.0,1054,478919.39,97957933.9421,164.46407623626374,6590.968019957098,False
2024,1,10397,11278,9E,broad_fare_bounds,30.0,29,5412.91,1256455.4273,180.43033333333332,9326.742389888892,False
2024,1,10397,11278,9E,primary,30.0,29,5412.91,1256455.4273,180.43033333333332,9326.742389888892,False
2024,1,10397,11278,AA,broad_fare_bounds,36.0,32,6562.86,1477017.4454,182.30166666666665,7794.3647027777915,False
2024,1,10397,11278,AA,primary,36.0,32,6562.86,1477017.4454,182.30166666666665,7794.3647027777915,False
2024,1,10397,11278,C5,broad_fare_bounds,1.0,1,356.03,126757.36089999999,356.03,0.0,True
2024,1,10397,11278,C5,primary,1.0,1,356.03,126757.36089999999,356.03,0.0,True
2024,1,10397,11278,DL,broad_fare_bounds,4229.0,1359,1118320.01,352809565.2597,264.44076850319226,13497.319078458808,False
2024,1,10397,11278,DL,primary,4196.0,1351,1117830.83,352802296.3273,266.4039156339371,13109.5772638146,False
2024,1,10397,11278,MQ,broad_fare_bounds,1.0,1,78.56,6171.6736,78.56,0.0,True
2024,1,10397,11278,MQ,primary,1.0,1,78.56,6171.6736,78.56,0.0,True
2024,1,10397,11278,OH,broad_fare_bounds,427.0,291,94656.2,25661174.1928,221.67728337236534,10955.608717678486,False
2024,1,10397,11278,OH,primary,427.0,291,94656.2,25661174.1928,221.67728337236534,10955.608717678486,False
2024,1,10397,11278,OO,broad_fare_bounds,24.0,24,4866.98,1242763.4344,202.79083333333332,10657.68768263889,True
2024,1,10397,11278,OO,primary,23.0,23,4854.28,1242602.1443999999,211.05565217391305,9481.691876748577,True
2024,1,10397,11278,UA,broad_fare_bounds,2.0,2,576.3499999999999,166246.48329999996,288.17499999999995,78.41102500000852,True
2024,1,10397,11278,UA,primary,2.0,2,576.3499999999999,166246.48329999996,288.17499999999995,78.41102500000852,True
2024,1,10397,11278,WN,broad_fare_bounds,2023.0,856,307918.38,58478109.3558,152.20878892733563,5739.113023990547,False
2024,1,10397,11278,WN,primary,2018.0,854,307868.38,58477609.3558,152.56113974231914,5703.101294538446,False
2024,1,10397,11278,YX,broad_fare_bounds,1114.0,666,227222.86,56255754.2652,203.97025134649908,8895.018311786022,False
2024,1,10397,11278,YX,primary,1114.0,666,227222.86,56255754.2652,203.97025134649908,8895.018311786022,False
2024,1,10397,11278,ZW,broad_fare_bounds,1.0,1,185.69,34480.7761,185.69,0.0,True
2024,1,10397,11278,ZW,primary,1.0,1,185.69,34480.7761,185.69,0.0,True
2024,1,10397,11292,9E,broad_fare_bounds,14.0,14,2896.94,1090609.3161999998,206.92428571428573,35083.00542448977,True
2024,1,10397,11292,9E,primary,14.0,14,2896.94,1090609.3161999998,206.92428571428573,35083.00542448977,True
2024,1,10397,11292,DL,broad_fare_bounds,4437.0,1297,1145052.35,385276884.6939,258.069044399369,20233.112224960147,False
2024,1,10397,11292,DL,primary,4351.0,1289,1143788.35,385258301.6939,262.87941852447716,19439.183022484198,False
2024,1,10397,11292,F9,broad_fare_bounds,1319.0,493,113378.06,14871200.9966,85.95758908263836,3885.895605862989,False
2024,1,10397,11292,F9,primary,1299.0,478,113035.99,14865296.8897,87.01769822940724,3871.5667612145526,False
2024,1,10397,11292,OO,broad_fare_bounds,6.0,6,1366.68,417594.8342,227.78,17715.410633333326,True
2024,1,10397,11292,OO,primary,6.0,6,1366.68,417594.8342,227.78,17715.410633333326,True
2024,1,10397,11292,UA,broad_fare_bounds,1116.0,708,273219.23,83012933.5357,244.82009856630822,14447.468384309286,False
2024,1,10397,11292,UA,primary,1115.0,707,273208.23,83012812.5357,245.02980269058295,14411.348740230118,False
2024,1,10397,11292,WN,broad_fare_bounds,1928.0,1086,333947.36,74665977.6756,173.20921161825726,8725.73585477265,False
2024,1,10397,11292,WN,primary,1928.0,1086,333947.36,74665977.6756,173.20921161825726,8725.73585477265,False
2024,1,10397,11298,9E,broad_fare_bounds,4.0,4,1067.7,306079.358,266.925,5270.8838749999995,True
2024,1,10397,11298,9E,primary,4.0,4,1067.7,306079.358,266.925,5270.8838749999995,True
2024,1,10397,11298,AA,broad_fare_bounds,3676.0,1248,925868.34,287986448.3566,251.86842763873776,14904.636931532026,False
2024,1,10397,11298,AA,primary,3675.0,1247,925858.34,287986348.3566,251.93424217687073,14892.769824643394,False
2024,1,10397,11298,DL,broad_fare_bounds,3965.0,1744,1082589.82,362911148.7088,273.03652459016394,16979.719217984573,False
2024,1,10397,11298,DL,primary,3917.0,1730,1081877.64,362900558.8524,276.20057186622415,16360.82103526144,False
2024,1,10397,11298,F9,broad_fare_bounds,1134.0,439,107306.29,13242723.6039,94.62635802469136,2723.7391429088566,False
2024,1,10397,11298,F9,primary,1099.0,432,106689.79,13231726.8539,97.07897179253867,2615.461091845429,False
2024,1,10397,11298,MQ,broad_fare_bounds,28.0,28,7052.72,1953344.713,251.88285714285715,6317.337456122448,True
2024,1,10397,11298,MQ,primary,28.0,28,7052.72,1953344.713,251.88285714285715,6317.337456122448,True
2024,1,10397,11298,NK,broad_fare_bounds,1321.0,390,102808.28,11929263.5988,77.82610143830432,2973.577570645274,False
2024,1,10397,11298,NK,primary,1315.0,388,102698.28,11927233.5988,78.09755133079848,2970.912094992612,False
2024,1,10397,11298,OH,broad_fare_bounds,3.0,3,631.04,167646.787,210.34666666666666,11636.542155555566,True
2024,1,10397,11298,OH,primary,3.0,3,631.04,167646.787,210.34666666666666,11636.542155555566,True
2024,1,10397,11298,OO,broad_fare_bounds,6.0,6,1821.21,569991.8843,303.535,2865.151158333334,True
2024,1,10397,11298,OO,primary,6.0,6,1821.21,569991.8843,303.535,2865.151158333334,True
2024,1,10397,11298,ZW,broad_fare_bounds,3.0,3,376.94,52509.842,125.64666666666666,1716.195822222222,True
2024,1,10397,11298,ZW,primary,3.0,3,376.94,52509.842,125.64666666666666,1716.195822222222,True
2024,1,10397,11433,9E,broad_fare_bounds,107.0,98,32514.53,12017872.7175,303.8741121495327,19977.091418604236,False
2024,1,10397,11433,9E,primary,105.0,97,32486.27,12017473.4037,309.39304761904765,18728.069739283426,False
2024,1,10397,11433,DL,broad_fare_bounds,3915.0,1227,994350.62,325189095.5228,253.98483269476372,18554.05355355439,False
2024,1,10397,11433,DL,primary,3866.0,1219,993620.62,325178218.0228,257.01516295913086,18055.52313863099,False
2024,1,10397,11433,F9,broad_fare_bounds,870.0,298,63585.84,6612604.5554,73.0871724137931,2258.9601198208484,False
2024,1,10397,11433,F9,primary,850.0,294,63218.84,6605869.0554,74.37510588235294,2239.9542784005534,False
2024,1,10397,11433,NK,broad_fare_bounds,2936.0,548,195432.35,19653968.0001,66.56415190735694,2263.3444710791055,False
2024,1,10397,11433,NK,primary,2847.0,532,193791.03,19623593.2327,68.06850368809273,2259.40561729038,False
2024,1,10397,11433,OO,broad_fare_bounds,45.0,43,16564.47,6807632.8987,368.09933333333333,15783.61188177779,False
2024,1,10397,11433,OO,primary,45.0,43,16564.47,6807632.8987,368.09933333333333,15783.61188177779,False
2024,1,10397,11433,WN,broad_fare_bounds,18.0,16,2499.18,409959.5886,138.84333333333333,3498.0614888888886,True
2024,1,10397,11433,WN,primary,18.0,16,2499.18,409959.5886,138.84333333333333,3498.0614888888886,True
2024,1,10397,11618,9E,broad_fare_bounds,36.0,34,9288.48,2995080.5436,258.0133333333333,16625.80158888889,False
2024,1,10397,11618,9E,primary,35.0,33,9272.92,2994838.4299999997,264.94057142857145,15373.30589681631,False
2024,1,10397,11618,DL,broad_fare_bounds,3606.0,1300,777691.99,205448509.3953,215.66610926234054,10462.202913897105,False
2024,1,10397,11618,DL,primary,3583.0,1296,777351.99,205443481.8953,216.95562098799888,10268.657041192666,False
2024,1,10397,11618,G7,broad_fare_bounds,8.0,8,1863.17,564559.4849,232.89625,16329.272348437502,True
2024,1,10397,11618,G7,primary,8.0,8,1863.17,564559.4849,232.89625,16329.272348437502,True
2024,1,10397,11618,NK,broad_fare_bounds,1620.0,365,111616.96,11293382.8238,68.89935802469137,2224.1024290940395,False
2024,1,10397,11618,NK,primary,1604.0,358,111352.96,11289012.8238,69.42204488778056,2218.6176036737943,False
2024,1,10397,11618,OO,broad_fare_bounds,10.0,10,2153.8,550681.3758,215.38000000000002,8679.593179999989,True
2024,1,10397,11618,OO,primary,10.0,10,2153.8,550681.3758,215.38000000000002,8679.593179999989,True
2024,1,10397,11618,UA,broad_fare_bounds,4832.0,1204,858316.41,187391504.9791,177.63170736754967,7228.331044953273,False
2024,1,10397,11618,UA,primary,4829.0,1202,858279.91,187391052.7291,177.734501967281,7215.80045076149,False
2024,1,10397,11618,YX,broad_fare_bounds,103.0,93,23340.69,6392903.3897,226.60864077669902,10715.547126307858,False
2024,1,10397,11618,YX,primary,103.0,93,23340.69,6392903.3897,226.60864077669902,10715.547126307858,False
2024,1,10397,11697,9E,broad_fare_bounds,1.0,1,161.66,26133.955599999998,161.66,0.0,True
2024,1,10397,11697,9E,primary,1.0,1,161.66,26133.955599999998,161.66,0.0,True
2024,1,10397,11697,B6,broad_fare_bounds,581.0,210,69868.62,10291049.4744,120.25580034423407,3251.1921813301924,False
2024,1,10397,11697,B6,primary,581.0,210,69868.62,10291049.4744,120.25580034423407,3251.1921813301924,False
2024,1,10397,11697,DL,broad_fare_bounds,7106.0,1439,1242164.56,296947334.9074,174.8050323670138,11231.454938283496,False
2024,1,10397,11697,DL,primary,6975.0,1424,1240218.56,296918388.4074,177.80911254480287,10952.864070567262,False
2024,1,10397,11697,F9,broad_fare_bounds,1706.0,298,85883.73,6037330.0505,50.34216295427901,1004.547080726084,False
2024,1,10397,11697,F9,primary,1577.0,294,83534.73,5994527.5505,52.97065948002536,995.3315237248835,False
2024,1,10397,11697,NK,broad_fare_bounds,4810.0,626,249375.41,19235835.3255,51.845199584199584,1311.2094433801249,False
2024,1,10397,11697,NK,primary,4616.0,584,245911.67,19173238.9465,53.27375866551127,1315.5545896635945,False
2024,1,10397,11697,WN,broad_fare_bounds,1697.0,765,212250.8,33289753.9616,125.0741308190925,3973.2879410388687,False
2024,1,10397,11697,WN,primary,1697.0,765,212250.8,33289753.9616,125.0741308190925,3973.2879410388687,False
2024,1,10397,12173,DL,broad_fare_bounds,428.0,326,460262.74,669100113.2136,1075.3802336448598,406875.37461302965,False
2024,1,10397,12173,DL,primary,385.0,287,354007.17,400485480.8687,919.4991428571428,194743.35451536928,False
2024,1,10397,12173,HA,broad_fare_bounds,1.0,1,877.4,769830.76,877.4,0.0,True
2024,1,10397,12173,HA,primary,1.0,1,877.4,769830.76,877.4,0.0,True
2024,1,10397,12266,9E,broad_fare_bounds,13.0,13,2462.38,667905.9062,189.41384615384615,15499.772285207102,True
2024,1,10397,12266,9E,primary,12.0,12,2446.62,667657.5286,203.885,14069.034158333336,True
2024,1,10397,12266,C5,broad_fare_bounds,4.0,4,1000.03,251255.83889999997,250.0075,310.2096687499943,True
2024,1,10397,12266,C5,primary,4.0,4,1000.03,251255.83889999997,250.0075,310.2096687499943,True
2024,1,10397,12266,DL,broad_fare_bounds,2972.0,1136,687716.64,208005052.2188,231.398600269179,16442.928782293777,False
2024,1,10397,12266,DL,primary,2943.0,1129,687286.92,207998676.6404,233.5327624872579,16138.179949521218,False
