Year,Quarter,OriginAirportID,DestAirportID,sample,passengers,records,fare_total,fare_square_total,fare_mean,fare_variance,low_support,flights,cancelled,diverted,cancelled_and_diverted,delay_observed,delay_missing_eligible,delayed_15,delayed_60,arrival_delay_sum,months_observed,cancellation_rate,diversion_rate,delay_15_rate,delay_60_rate,mean_arrival_delay,coverage
2021,1,10397,10721,primary,2129.0,711,402436.38,97366965.31719999,189.02601221230626,10002.82819945686,False,672.0,16.0,0.0,0.0,656.0,0.0,47.0,8.0,-6116.0,3.0,0.023809523809523808,0.0,0.07164634146341463,0.012195121951219513,-9.323170731707316,matched
2021,1,10397,10821,primary,4058.0,1090,478301.4,75384318.0874,117.86628881222278,4684.255085192091,False,966.0,22.0,1.0,0.0,943.0,0.0,97.0,17.0,-2405.0,3.0,0.022774327122153208,0.0010351966873706005,0.10286320254506894,0.018027571580063628,-2.550371155885472,matched
2021,1,10397,11278,primary,2020.0,781,344588.32,70012545.10080001,170.58827722772278,5559.315464952848,False,758.0,8.0,0.0,0.0,750.0,0.0,56.0,14.0,-4446.0,3.0,0.010554089709762533,0.0,0.07466666666666667,0.018666666666666668,-5.928,matched
2021,1,10397,11292,primary,6830.0,1508,734965.25,136599393.4457,107.60838213762811,8420.34728635763,False,1280.0,35.0,1.0,0.0,1244.0,0.0,145.0,22.0,-531.0,3.0,0.02734375,0.00078125,0.11655948553054662,0.017684887459807074,-0.42684887459807075,matched
2021,1,10397,11298,primary,5117.0,1664,532147.9600000001,89610230.9906,103.99608364275944,6697.0739167708,False,1225.0,34.0,4.0,0.0,1187.0,0.0,226.0,49.0,6360.0,3.0,0.027755102040816326,0.0032653061224489797,0.19039595619208088,0.041280539174389216,5.35804549283909,matched
2021,1,10397,11433,primary,4085.0,895,451070.00999999995,88373380.0053,110.42105507955935,9440.82095137151,False,1041.0,2.0,0.0,0.0,1039.0,0.0,75.0,15.0,-4706.0,3.0,0.0019212295869356388,0.0,0.07218479307025986,0.014436958614051972,-4.529355149181906,matched
2021,1,10397,11618,primary,5275.0,1360,564277.04,101498572.8298,106.97195071090049,7798.4373686497,False,1027.0,22.0,3.0,0.0,1002.0,0.0,81.0,21.0,-6475.0,3.0,0.021421616358325218,0.0029211295034079843,0.08083832335329341,0.020958083832335328,-6.462075848303393,matched
2021,1,10397,11697,primary,9017.0,1765,746931.98,95911188.8566,82.83597427082178,3774.9085703965875,False,1815.0,0.0,1.0,0.0,1814.0,0.0,244.0,55.0,1101.0,3.0,0.0,0.0005509641873278236,0.1345093715545755,0.03031973539140022,0.6069459757442117,matched
2021,1,10397,12173,primary,112.0,86,80764.44,82109117.3304,721.1110714285714,213115.94168456638,False,68.0,0.0,1.0,0.0,67.0,0.0,13.0,4.0,-665.0,3.0,0.0,0.014705882352941176,0.19402985074626866,0.05970149253731343,-9.925373134328359,matched
2021,1,10397,12266,primary,3551.0,1126,368990.97,60243298.2827,103.91184736693889,6167.492235505853,False,990.0,37.0,0.0,0.0,953.0,0.0,77.0,20.0,-3514.0,3.0,0.03737373737373737,0.0,0.080797481636936,0.02098635886673662,-3.6873032528856244,matched
