Year,Month,DOT_ID_Reporting_Airline,Reporting_Airline,OriginAirportID,DestAirportID,Origin,Dest,flights,cancelled,diverted,cancelled_and_diverted,delay_observed,delay_missing_eligible,delayed_15,delayed_60,arrival_delay_sum,cancellation_rate,diversion_rate,delay_15_rate,delay_60_rate,mean_arrival_delay
2010,1,19805,AA,11298,13930,DFW,ORD,448,16,0,0,432,0,82,19,929.0,0.03571428571428571,0.0,0.18981481481481483,0.04398148148148148,2.150462962962963
2010,1,19805,AA,11298,14747,DFW,SEA,212,1,0,0,211,0,31,5,-1539.0,0.0047169811320754715,0.0,0.14691943127962084,0.023696682464454975,-7.293838862559242
2010,1,19805,AA,12478,11298,JFK,DFW,31,0,1,0,30,0,12,4,626.0,0.0,0.03225806451612903,0.4,0.13333333333333333,20.866666666666667
2010,1,19805,AA,12478,12892,JFK,LAX,305,4,1,0,300,0,29,13,-7791.0,0.013114754098360656,0.003278688524590164,0.09666666666666666,0.043333333333333335,-25.97
2010,1,19805,AA,12478,13930,JFK,ORD,31,0,1,0,30,0,5,2,-206.0,0.0,0.03225806451612903,0.16666666666666666,0.06666666666666667,-6.866666666666666
2010,1,19805,AA,12478,14747,JFK,SEA,31,0,0,0,31,0,5,4,-519.0,0.0,0.0,0.16129032258064516,0.12903225806451613,-16.741935483870968
2010,1,19805,AA,12892,11292,LAX,DEN,62,0,0,0,62,0,7,1,-34.0,0.0,0.0,0.11290322580645161,0.016129032258064516,-0.5483870967741935
2010,1,19805,AA,12892,11298,LAX,DFW,481,7,0,0,474,0,77,24,2004.0,0.014553014553014554,0.0,0.16244725738396623,0.05063291139240506,4.227848101265823
2010,1,19805,AA,12892,12478,LAX,JFK,305,3,0,0,302,0,35,12,-1942.0,0.009836065573770493,0.0,0.11589403973509933,0.039735099337748346,-6.430463576158941
2010,1,19805,AA,12892,13930,LAX,ORD,274,5,0,0,269,0,43,6,-150.0,0.01824817518248175,0.0,0.15985130111524162,0.022304832713754646,-0.5576208178438662
2010,1,19805,AA,13930,10397,ORD,ATL,112,5,0,0,107,0,16,2,-757.0,0.044642857142857144,0.0,0.14953271028037382,0.018691588785046728,-7.074766355140187
2010,1,19805,AA,13930,11292,ORD,DEN,124,4,1,0,119,0,13,3,-768.0,0.03225806451612903,0.008064516129032258,0.1092436974789916,0.025210084033613446,-6.453781512605042
2010,1,19805,AA,13930,11298,ORD,DFW,448,13,3,0,432,0,64,20,-1358.0,0.029017857142857144,0.006696428571428571,0.14814814814814814,0.046296296296296294,-3.1435185185185186
2010,1,19805,AA,13930,12478,ORD,JFK,31,2,0,0,29,0,7,4,214.0,0.06451612903225806,0.0,0.2413793103448276,0.13793103448275862,7.379310344827586
2010,1,19805,AA,13930,12892,ORD,LAX,274,5,1,0,268,0,45,14,-208.0,0.01824817518248175,0.0036496350364963502,0.16791044776119404,0.05223880597014925,-0.7761194029850746
2010,1,19805,AA,13930,14747,ORD,SEA,119,1,0,0,118,0,9,1,-1796.0,0.008403361344537815,0.0,0.07627118644067797,0.00847457627118644,-15.220338983050848
2010,1,19805,AA,14747,11298,SEA,DFW,212,1,0,0,211,0,28,9,783.0,0.0047169811320754715,0.0,0.13270142180094788,0.04265402843601896,3.7109004739336493
2010,1,19805,AA,14747,12478,SEA,JFK,31,0,0,0,31,0,3,1,-358.0,0.0,0.0,0.0967741935483871,0.03225806451612903,-11.548387096774194
2010,1,19805,AA,14747,13930,SEA,ORD,119,1,0,0,118,0,13,2,-747.0,0.008403361344537815,0.0,0.11016949152542373,0.01694915254237288,-6.330508474576271
2010,1,19930,AS,10397,14747,ATL,SEA,31,0,0,0,31,0,14,2,435.0,0.0,0.0,0.45161290322580644,0.06451612903225806,14.03225806451613
2010,1,19930,AS,11292,14747,DEN,SEA,89,0,0,0,89,0,7,2,-1099.0,0.0,0.0,0.07865168539325842,0.02247191011235955,-12.348314606741573
2010,1,19930,AS,11298,14747,DFW,SEA,62,0,0,0,62,0,8,2,-245.0,0.0,0.0,0.12903225806451613,0.03225806451612903,-3.9516129032258065
2010,1,19930,AS,12892,14747,LAX,SEA,278,1,0,0,277,0,27,3,-2453.0,0.0035971223021582736,0.0,0.09747292418772563,0.010830324909747292,-8.855595667870036
2010,1,19930,AS,13930,14747,ORD,SEA,62,0,0,0,62,0,11,4,-89.0,0.0,0.0,0.1774193548387097,0.06451612903225806,-1.435483870967742
2010,1,19930,AS,14747,10397,SEA,ATL,31,0,0,0,31,0,2,0,-355.0,0.0,0.0,0.06451612903225806,0.0,-11.451612903225806
2010,1,19930,AS,14747,11292,SEA,DEN,89,0,0,0,89,0,7,0,-218.0,0.0,0.0,0.07865168539325842,0.0,-2.449438202247191
2010,1,19930,AS,14747,11298,SEA,DFW,62,0,0,0,62,0,13,1,262.0,0.0,0.0,0.20967741935483872,0.016129032258064516,4.225806451612903
2010,1,19930,AS,14747,12892,SEA,LAX,281,0,0,0,281,0,18,1,-803.0,0.0,0.0,0.06405693950177936,0.0035587188612099642,-2.8576512455516014
2010,1,19930,AS,14747,13930,SEA,ORD,62,0,0,0,62,0,23,5,892.0,0.0,0.0,0.3709677419354839,0.08064516129032258,14.387096774193548
2010,1,19977,UA,10397,13930,ATL,ORD,61,1,0,0,60,0,4,0,-623.0,0.01639344262295082,0.0,0.06666666666666667,0.0,-10.383333333333333
2010,1,19977,UA,11292,11298,DEN,DFW,88,0,0,0,88,0,9,1,-526.0,0.0,0.0,0.10227272727272728,0.011363636363636364,-5.9772727272727275
2010,1,19977,UA,11292,12892,DEN,LAX,236,3,0,0,233,0,32,10,-620.0,0.012711864406779662,0.0,0.13733905579399142,0.04291845493562232,-2.6609442060085837
2010,1,19977,UA,11292,13930,DEN,ORD,282,9,0,0,273,0,44,12,440.0,0.031914893617021274,0.0,0.16117216117216118,0.04395604395604396,1.6117216117216118
2010,1,19977,UA,11292,14747,DEN,SEA,120,0,0,0,120,0,11,7,-769.0,0.0,0.0,0.09166666666666666,0.058333333333333334,-6.408333333333333
2010,1,19977,UA,11298,11292,DFW,DEN,115,0,0,0,115,0,14,0,-669.0,0.0,0.0,0.12173913043478261,0.0,-5.817391304347826
2010,1,19977,UA,11298,13930,DFW,ORD,99,2,1,0,96,0,15,2,-48.0,0.020202020202020204,0.010101010101010102,0.15625,0.020833333333333332,-0.5
2010,1,19977,UA,12478,12892,JFK,LAX,181,0,0,0,181,0,7,3,-4987.0,0.0,0.0,0.03867403314917127,0.016574585635359115,-27.552486187845304
2010,1,19977,UA,12892,11292,LAX,DEN,248,2,0,0,246,0,27,8,-878.0,0.008064516129032258,0.0,0.10975609756097561,0.032520325203252036,-3.569105691056911
2010,1,19977,UA,12892,12478,LAX,JFK,180,0,1,0,179,0,16,6,-1027.0,0.0,0.005555555555555556,0.0893854748603352,0.0335195530726257,-5.737430167597766
2010,1,19977,UA,12892,13930,LAX,ORD,329,10,0,0,319,0,49,9,-31.0,0.030395136778115502,0.0,0.1536050156739812,0.02821316614420063,-0.09717868338557993
2010,1,19977,UA,13930,10397,ORD,ATL,61,1,0,0,60,0,15,3,430.0,0.01639344262295082,0.0,0.25,0.05,7.166666666666667
2010,1,19977,UA,13930,11292,ORD,DEN,286,7,0,0,279,0,40,14,-1667.0,0.024475524475524476,0.0,0.14336917562724014,0.05017921146953405,-5.974910394265233
2010,1,19977,UA,13930,11298,ORD,DFW,127,2,0,0,125,0,17,3,-1580.0,0.015748031496062992,0.0,0.136,0.024,-12.64
