Year,Quarter,OriginAirportID,DestAirportID,sample,passengers,records,fare_total,fare_square_total,fare_mean,fare_variance,low_support,flights,cancelled,diverted,cancelled_and_diverted,delay_observed,delay_missing_eligible,delayed_15,delayed_60,arrival_delay_sum,months_observed,cancellation_rate,diversion_rate,delay_15_rate,delay_60_rate,mean_arrival_delay,coverage
2015,1,10397,10721,primary,5376.0,1901.0,1318400.1199999999,427231249.5286,245.2381175595238,19328.364194484697,False,1185.0,65.0,7.0,0.0,1113.0,0.0,196.0,46.0,2497.0,3.0,0.05485232067510549,0.00590717299578059,0.1761006289308176,0.04132973944294699,2.243486073674753,matched
2015,1,10397,10821,primary,5723.0,1346.0,984031.0399999999,204792209.60759997,171.94321859164774,6219.595561054259,False,1395.0,35.0,3.0,0.0,1357.0,0.0,185.0,37.0,-244.0,3.0,0.025089605734767026,0.002150537634408602,0.1363301400147384,0.027266028002947678,-0.1798084008843036,matched
2015,1,10397,11278,primary,7518.0,1663.0,1513820.0399999998,399925634.78540003,201.3594094173982,12650.136414841436,False,1685.0,59.0,11.0,0.0,1615.0,0.0,266.0,55.0,5439.0,3.0,0.035014836795252226,0.006528189910979229,0.16470588235294117,0.034055727554179564,3.3678018575851394,matched
2015,1,10397,11292,primary,7243.0,2169.0,1324724.5,309371045.4686,182.89721110037277,9261.71875497228,False,1201.0,9.0,3.0,0.0,1189.0,0.0,231.0,53.0,3735.0,3.0,0.00749375520399667,0.002497918401332223,0.19428090832632464,0.044575273338940284,3.141295206055509,matched
2015,1,10397,11298,primary,9015.0,2781.0,1463200.49,338474506.8137,162.30732002218525,11202.036231464419,False,1980.0,49.0,0.0,0.0,1931.0,0.0,290.0,77.0,2173.0,3.0,0.024747474747474747,0.0,0.15018125323666495,0.0398757120662869,1.1253236664940445,matched
2015,1,10397,11433,primary,4570.0,1732.0,948049.5900000001,289027574.57350004,207.4506761487965,20208.762823941077,False,1276.0,8.0,0.0,0.0,1268.0,0.0,201.0,34.0,1635.0,3.0,0.006269592476489028,0.0,0.15851735015772872,0.026813880126182965,1.2894321766561514,matched
2015,1,10397,11618,primary,5111.0,2293.0,1470746.02,539719109.989,287.7609117589513,22793.170477000807,False,1350.0,71.0,2.0,0.0,1277.0,0.0,239.0,82.0,5748.0,3.0,0.052592592592592594,0.0014814814814814814,0.18715740015661708,0.06421299921691465,4.501174628034455,matched
2015,1,10397,11697,primary,9096.0,1800.0,1272820.05,227708243.60209998,139.9318436675462,5452.966946853743,False,1999.0,10.0,0.0,0.0,1989.0,0.0,265.0,48.0,-1930.0,3.0,0.0050025012506253125,0.0,0.13323278029160382,0.024132730015082957,-0.9703368526897939,matched
2015,1,10397,12173,primary,244.0,183.0,170668.15,147705719.8833,699.4596311475409,116107.53539207717,False,90.0,0.0,0.0,0.0,90.0,0.0,7.0,1.0,-987.0,3.0,0.0,0.0,0.07777777777777778,0.011111111111111112,-10.966666666666667,matched
2015,1,10397,12266,primary,4039.0,2021.0,661040.91,151564283.6303,163.6644986382768,10739.132091052175,False,958.0,5.0,0.0,0.0,953.0,0.0,163.0,32.0,714.0,3.0,0.005219206680584551,0.0,0.17103882476390347,0.033578174186778595,0.7492130115424974,matched
2015,1,10397,12478,primary,1098.0,552.0,279149.72,95089692.0812,254.23471766848814,21967.34228575819,False,449.0,19.0,1.0,0.0,429.0,0.0,132.0,36.0,7224.0,3.0,0.042316258351893093,0.0022271714922048997,0.3076923076923077,0.08391608391608392,16.83916083916084,matched
2015,1,10397,12889,primary,5458.0,1494.0,1503733.14,530370781.0464,275.5099193843899,21267.384549169015,False,901.0,5.0,1.0,0.0,895.0,0.0,100.0,24.0,-6046.0,3.0,0.005549389567147614,0.0011098779134295228,0.11173184357541899,0.026815642458100558,-6.755307262569833,matched
