Year,Month,DOT_ID_Reporting_Airline,Reporting_Airline,flights,cancelled,diverted,cancelled_and_diverted,delay_observed,delay_missing_eligible,delayed_15,delayed_60,arrival_delay_sum,cancellation_rate,diversion_rate,delay_15_rate,delay_60_rate,mean_arrival_delay
2015,1,19393,WN,100042,1767,215,0,98060,0,18933,4535,332371.0,0.017662581715679415,0.0021490973791007777,0.19307566795839282,0.04624719559453396,3.3894656332857434
2015,1,19690,HA,6440,26,6,0,6408,0,901,126,22509.0,0.004037267080745342,0.0009316770186335404,0.14060549313358303,0.019662921348314606,3.5126404494382024
2015,1,19790,DL,64421,678,67,0,63676,0,8186,2247,-130144.0,0.010524518402384315,0.001040033529439158,0.1285570701677241,0.035288020604309314,-2.0438469753125195
2015,1,19805,AA,44059,900,85,0,43074,0,9529,2705,299616.0,0.020427154497378516,0.0019292312580857487,0.22122394019594185,0.0627989042113572,6.955843432232902
2015,1,19930,AS,13257,64,42,0,13151,0,1939,499,-4220.0,0.004827638228860225,0.0031681375876895226,0.1474412592198312,0.037943882594479506,-0.3208881453881834
2015,1,19977,UA,38395,967,65,0,37363,0,8401,2503,237357.0,0.02518557103789556,0.001692928766766506,0.22484811176832695,0.06699140861279876,6.352728635280893
2015,1,20304,OO,48114,1262,197,0,46655,0,11355,4127,508068.0,0.026229371908384255,0.004094442366047305,0.24338227413996355,0.08845782874290001,10.889893902046941
2015,1,20355,US,33489,959,52,0,32478,0,6022,1406,100924.0,0.028636268625518827,0.0015527486637403327,0.18541782129441467,0.043290843032206414,3.107457355748507
2015,1,20366,EV,49925,1702,139,0,48084,0,10991,3531,410517.0,0.03409113670505759,0.002784176264396595,0.2285791531486565,0.07343399051659595,8.537496880459196
2015,1,20398,MQ,29900,2288,44,0,27568,0,9497,3477,500772.0,0.07652173913043478,0.001471571906354515,0.344493615786419,0.1261244921648288,18.164973882762624
2015,1,20409,B6,21623,1102,39,0,20482,0,4944,1557,150487.0,0.050964251028996904,0.0018036350182675854,0.24138267747290304,0.07601796699541061,7.347280539009862
2015,1,20416,NK,8743,98,13,0,8632,0,2346,792,98388.0,0.01120896717373899,0.0014869038087612948,0.2717794253938832,0.0917516218721038,11.39805375347544
2015,1,20436,F9,6829,89,5,0,6735,0,2151,772,123636.0,0.013032654854297847,0.000732171621027969,0.31937639198218265,0.11462509279881218,18.357238307349665
2015,1,21171,VX,4731,80,4,0,4647,0,756,218,6602.0,0.016909744240118367,0.0008454872120059184,0.16268560361523562,0.04691198622767377,1.4207015278674413
2015,2,19393,WN,90172,3454,174,0,86544,0,16624,4096,303022.0,0.03830457348179036,0.0019296455662511645,0.19208726197078943,0.04732852652985765,3.501363468293585
2015,2,19690,HA,5779,3,3,0,5773,0,1021,99,34811.0,0.0005191209551825575,0.0005191209551825575,0.17685778624631907,0.017148796119868352,6.029967088169063
2015,2,19790,DL,60884,1696,118,0,59070,0,11586,3890,331663.0,0.02785625123185073,0.0019381118191971619,0.19614017267648554,0.06585407144066362,5.6147452175385135
2015,2,19805,AA,39835,2554,101,0,37180,0,7925,2290,279973.0,0.06411447219781599,0.0025354587674155894,0.21315223238300163,0.06159225389994621,7.530204410973642
2015,2,19930,AS,12194,113,53,0,12028,0,1652,424,-9417.0,0.00926685255043464,0.004346399868787929,0.13734619221815764,0.035251080811439975,-0.7829231792484204
