Year,Month,DOT_ID_Reporting_Airline,Reporting_Airline,flights,cancelled,diverted,cancelled_and_diverted,delay_observed,delay_missing_eligible,delayed_15,delayed_60,arrival_delay_sum,cancellation_rate,diversion_rate,delay_15_rate,delay_60_rate,mean_arrival_delay
2022,1,19393,WN,97436,6448,129,0,90859,0,16735,4861,95432.0,0.06617677244550269,0.0013239459747937108,0.18418648675420157,0.053500478763798855,1.0503307322334607
2022,1,19687,QX,8105,426,30,0,7649,0,1930,615,83868.0,0.05256014805675509,0.003701418877236274,0.25232056477970977,0.08040266701529612,10.9645705320957
2022,1,19690,HA,5868,217,11,0,5640,0,1069,357,38827.0,0.03698023176550784,0.001874573960463531,0.1895390070921986,0.06329787234042553,6.884219858156029
2022,1,19790,DL,68963,2237,153,0,66573,0,9780,2877,-15211.0,0.032437683975465106,0.0022185809782057043,0.14690640349691317,0.04321571808390789,-0.22848602286212127
2022,1,19805,AA,69400,2939,91,0,66370,0,9763,3192,-71403.0,0.04234870317002882,0.0013112391930835735,0.14709959318969415,0.048094018381799004,-1.0758324544221787
2022,1,19930,AS,16549,1269,76,0,15204,0,3498,991,79567.0,0.07668137047555744,0.004592422502870264,0.23007103393843725,0.06518021573270193,5.233293870034202
2022,1,19977,UA,45741,2906,91,0,42744,0,8776,3111,203302.0,0.06353162370739598,0.0019894624079053805,0.20531536589930752,0.07278214486243684,4.756269885831929
2022,1,20304,OO,63146,4284,211,0,58651,0,12064,5133,465013.0,0.06784277705634562,0.0033414626421309347,0.20569129256108165,0.08751768938296023,7.9284752178138485
2022,1,20363,9E,21644,1346,39,0,20259,0,3277,1210,40199.0,0.062188135279985214,0.0018018850489743116,0.1617552692630436,0.05972654129029074,1.9842539118416507
2022,1,20368,G4,8714,724,15,0,7975,0,2266,787,97639.0,0.08308469130135414,0.0017213679137020885,0.28413793103448276,0.0986833855799373,12.243134796238245
2022,1,20378,YV,11404,1456,28,0,9920,0,2201,1009,110702.0,0.12767450017537707,0.002455278849526482,0.221875,0.10171370967741936,11.159475806451614
2022,1,20397,OH,20541,2242,37,0,18262,0,4231,1814,195382.0,0.10914755854145368,0.001801275497784918,0.23168327674953454,0.09933194611762129,10.69882816778009
2022,1,20398,MQ,22205,669,39,0,21497,0,3248,904,-28515.0,0.0301283494708399,0.0017563611799144337,0.1510908498860306,0.042052379401776994,-1.326464157789459
2022,1,20409,B6,21332,2088,52,0,19192,0,6145,2799,359295.0,0.09788111756984812,0.0024376523532720793,0.3201854939558149,0.1458420175072947,18.721081700708627
2022,1,20416,NK,17554,601,20,0,16933,0,3929,1381,144272.0,0.03423721089210437,0.0011393414606357525,0.2320321266166657,0.08155672355755035,8.520167719837005
2022,1,20436,F9,12039,536,17,0,11486,0,3133,1139,125831.0,0.04452197026331091,0.0014120774150676967,0.2727668465958558,0.09916419989552498,10.95516280689535
2022,1,20452,YX,27261,2868,78,0,24315,0,5007,1705,80392.0,0.10520523825244855,0.002861230329041488,0.20592227020357803,0.07012132428542052,3.3062718486530946
2022,2,19393,WN,90965,3779,123,0,87063,0,15852,3339,-7662.0,0.04154345077777167,0.0013521684164238992,0.18207504910237415,0.038351538541056475,-0.08800523758657523
2022,2,19687,QX,7026,102,15,0,6909,0,983,227,12619.0,0.014517506404782237,0.002134927412467976,0.14227818787089302,0.03285569546967723,1.8264582428716167
2022,2,19690,HA,4984,11,4,0,4969,0,626,81,5532.0,0.0022070626003210273,0.0008025682182985554,0.1259810827128195,0.016301066613000605,1.1133024753471523
2022,2,19790,DL,62755,892,60,0,61803,0,8344,2462,-62348.0,0.014214006852043663,0.000956099115608318,0.13500962736436742,0.03983625390353219,-1.0088183421516754
2022,2,19805,AA,64867,5362,102,0,59403,0,12749,4280,502390.0,0.08266144572741148,0.0015724482402454253,0.21461879029678635,0.07205023315320776,8.457316970523374
2022,2,19930,AS,15969,243,36,0,15690,0,2735,560,394.0,0.015216982904377232,0.0022543678376855157,0.17431485022307203,0.035691523263224986,0.02511153601019758
2022,2,19977,UA,43982,887,44,0,43051,0,7879,2378,96407.0,0.02016734118503024,0.0010004092583329545,0.18301549325218927,0.0552368121530278,2.2393672620845044
2022,2,20304,OO,54943,2235,159,0,52549,0,9965,3867,378324.0,0.040678521376699486,0.002893908232167883,0.18963253344497516,0.0735884602942016,7.199451940094008
2022,2,20363,9E,18940,771,22,0,18147,0,2856,1157,38860.0,0.04070749736008448,0.0011615628299894403,0.1573813853529509,0.06375709483661211,2.1414007824984846
2022,2,20368,G4,8672,493,18,0,8161,0,2518,741,109768.0,0.05684963099630996,0.0020756457564575647,0.3085406200220561,0.0907976963607401,13.450312461708124
2022,2,20378,YV,9881,679,17,0,9185,0,1807,733,78889.0,0.0687177411193199,0.0017204736362716325,0.19673380511703864,0.07980402830702232,8.588894937397932
2022,2,20397,OH,18896,657,41,0,18198,0,4137,1599,168738.0,0.0347692633361558,0.0021697713801862827,0.227332673920211,0.08786679854929114,9.272337619518629
2022,2,20398,MQ,20764,2065,25,0,18674,0,3241,1035,34949.0,0.09945097283760354,0.001204006935079946,0.17355681696476385,0.05542465459997858,1.8715326121880689
2022,2,20409,B6,20579,1048,64,0,19467,0,6739,3152,400570.0,0.05092570095728655,0.003109966470673988,0.3461755791852879,0.16191503570144347,20.5768736836698
2022,2,20416,NK,16729,559,37,0,16133,0,4217,1534,188930.0,0.0334150277960428,0.002211728136768486,0.261389698134259,0.09508460918614021,11.710779148329511
2022,2,20436,F9,11131,482,12,0,10637,0,3072,1091,146239.0,0.043302488545503545,0.0010780702542449016,0.2888032339945473,0.10256651311459998,13.748143273479364
2022,2,20452,YX,24630,1471,52,0,23107,0,4894,1882,119314.0,0.059723913926106376,0.0021112464474218433,0.21179729086424026,0.08144718050807115,5.163543514952179
2022,3,19393,WN,103720,2048,192,0,101480,0,27707,7554,911081.0,0.019745468569224836,0.0018511376783648284,0.2730291683090264,0.07443831296807253,8.97793653921955
2022,3,19687,QX,7888,139,12,0,7737,0,948,212,8616.0,0.017621703853955374,0.0015212981744421906,0.12252811167119039,0.027400801344190255,1.1136099263280341
2022,3,19690,HA,6009,24,5,0,5980,0,895,91,16142.0,0.00399400898652022,0.0008320852055250458,0.1496655518394649,0.015217391304347827,2.69933110367893
