Year,Month,DOT_ID_Reporting_Airline,Reporting_Airline,OriginAirportID,DestAirportID,Origin,Dest,flights,cancelled,diverted,cancelled_and_diverted,delay_observed,delay_missing_eligible,delayed_15,delayed_60,arrival_delay_sum,cancellation_rate,diversion_rate,delay_15_rate,delay_60_rate,mean_arrival_delay
2022,1,19393,WN,10397,10821,ATL,BWI,81,4,0,0,77,0,14,3,233.0,0.04938271604938271,0.0,0.18181818181818182,0.03896103896103896,3.0259740259740258
2022,1,19393,WN,10397,11278,ATL,DCA,118,13,1,0,104,0,15,6,-65.0,0.11016949152542373,0.00847457627118644,0.14423076923076922,0.057692307692307696,-0.625
2022,1,19393,WN,10397,11292,ATL,DEN,85,11,0,0,74,0,21,7,883.0,0.12941176470588237,0.0,0.28378378378378377,0.0945945945945946,11.932432432432432
2022,1,19393,WN,10397,11697,ATL,FLL,88,4,1,0,83,0,18,6,502.0,0.045454545454545456,0.011363636363636364,0.21686746987951808,0.07228915662650602,6.048192771084337
2022,1,19393,WN,10397,12889,ATL,LAS,51,5,0,0,46,0,6,3,-464.0,0.09803921568627451,0.0,0.13043478260869565,0.06521739130434782,-10.08695652173913
2022,1,19393,WN,10397,12953,ATL,LGA,115,10,0,0,105,0,13,3,-441.0,0.08695652173913043,0.0,0.12380952380952381,0.02857142857142857,-4.2
2022,1,19393,WN,10397,13204,ATL,MCO,94,5,0,0,89,0,15,7,513.0,0.05319148936170213,0.0,0.16853932584269662,0.07865168539325842,5.764044943820225
2022,1,19393,WN,10397,13232,ATL,MDW,109,7,0,0,102,0,23,8,878.0,0.06422018348623854,0.0,0.22549019607843138,0.0784313725490196,8.607843137254902
2022,1,19393,WN,10397,13303,ATL,MIA,86,3,0,0,83,0,10,5,115.0,0.03488372093023256,0.0,0.12048192771084337,0.060240963855421686,1.3855421686746987
2022,1,19393,WN,10397,14100,ATL,PHL,28,2,0,0,26,0,5,4,78.0,0.07142857142857142,0.0,0.19230769230769232,0.15384615384615385,3.0
2022,1,19393,WN,10397,14107,ATL,PHX,46,1,0,0,45,0,11,3,-132.0,0.021739130434782608,0.0,0.24444444444444444,0.06666666666666667,-2.933333333333333
2022,1,19393,WN,10397,14635,ATL,RSW,47,0,1,0,46,0,12,1,267.0,0.0,0.02127659574468085,0.2608695652173913,0.021739130434782608,5.804347826086956
