Year,Month,DOT_ID_Reporting_Airline,Reporting_Airline,flights,cancelled,diverted,cancelled_and_diverted,delay_observed,delay_missing_eligible,delayed_15,delayed_60,arrival_delay_sum,cancellation_rate,diversion_rate,delay_15_rate,delay_60_rate,mean_arrival_delay
2011,1,19393,WN,93373,1439,187,0,91747,0,22264,4288,670428.0,0.015411307337238816,0.002002720272455635,0.24266733517172223,0.04673722301546645,7.307356098837019
2011,1,19690,HA,5549,2,3,0,5544,0,486,85,3250.0,0.0003604253018561903,0.0005406379527842854,0.08766233766233766,0.015331890331890332,0.5862193362193362
2011,1,19704,CO,19900,630,30,0,19240,0,4012,851,110294.0,0.03165829145728643,0.001507537688442211,0.20852390852390854,0.04423076923076923,5.732536382536383
2011,1,19790,DL,59428,3756,74,0,55598,0,11255,2552,217228.0,0.06320253079356532,0.0012452042808103925,0.20243533940069786,0.045900931688190226,3.907118961113709
2011,1,19805,AA,46151,1490,98,0,44563,0,7714,2194,83737.0,0.0322853242616628,0.002123464280297285,0.17310324708839173,0.0492336691874425,1.879070080560106
2011,1,19930,AS,11376,120,45,0,11211,0,1504,355,-14518.0,0.010548523206751054,0.003955696202531646,0.13415395593613416,0.031665328695031664,-1.294978146463295
2011,1,19977,UA,26174,560,38,0,25576,0,3456,1015,-78803.0,0.021395277756552304,0.0014518224191946206,0.1351266812636847,0.03968564279011574,-3.0811307475758523
2011,1,20304,OO,49796,1554,176,0,48066,0,11450,3799,486292.0,0.03120732588962969,0.0035344204353763356,0.23821412224857488,0.07903715724212541,10.117172221528731
2011,1,20355,US,34671,1740,70,0,32861,0,5594,1294,62673.0,0.050186034438002944,0.0020189783969311527,0.17023219013420163,0.039377986062505706,1.9072152399500928
2011,1,20366,EV,27099,2509,48,0,24542,0,5180,2063,184896.0,0.09258644230414406,0.001771283073176132,0.21106674272675413,0.08405997881183278,7.533860321082226
2011,1,20374,XE,27663,1072,43,0,26548,0,5224,1367,168171.0,0.03875212377544012,0.0015544228753208256,0.1967756516498418,0.0514916377881573,6.3346014765707395
2011,1,20378,YV,13429,536,28,0,12865,0,1902,631,42375.0,0.039913619778092185,0.0020850398391540695,0.1478429848425962,0.04904780411970462,3.293820443062573
2011,1,20398,MQ,36832,1643,46,0,35143,0,7317,1917,179965.0,0.04460794960903562,0.0012489139878366637,0.20820647070540363,0.054548558745696155,5.120934467746066
2011,1,20409,B6,17121,920,27,0,16174,0,5038,1720,227962.0,0.05373517901991706,0.0015770106886280008,0.3114875726474589,0.10634351428218128,14.094348955113144
2011,1,20436,F9,6253,55,8,0,6190,0,1455,350,49391.0,0.008795778026547258,0.0012793858947705101,0.23505654281098545,0.05654281098546042,7.979159935379645
