Year,Quarter,OriginAirportID,DestAirportID,sample,passengers,records,fare_total,fare_square_total,fare_mean,fare_variance,low_support,flights,cancelled,diverted,cancelled_and_diverted,delay_observed,delay_missing_eligible,delayed_15,delayed_60,arrival_delay_sum,months_observed,cancellation_rate,diversion_rate,delay_15_rate,delay_60_rate,mean_arrival_delay,coverage
2011,1,10397,10721,primary,5820.0,1947.0,1166296.17,303291682.8505,200.39453092783504,11954.00497258066,False,1300.0,80.0,2.0,0.0,1218.0,0.0,202.0,49.0,2065.0,3.0,0.06153846153846154,0.0015384615384615385,0.16584564860426929,0.040229885057471264,1.6954022988505748,matched
2011,1,10397,10821,primary,5972.0,1635.0,867443.23,155244994.8689,145.25171299397186,4897.417914664446,False,1398.0,56.0,0.0,0.0,1342.0,0.0,177.0,37.0,308.0,3.0,0.04005722460658083,0.0,0.13189269746646795,0.027570789865871834,0.22950819672131148,matched
2011,1,10397,11278,primary,7478.0,2117.0,1317022.72,303198338.8186,176.119646964429,9527.248238575554,False,1882.0,92.0,5.0,0.0,1785.0,0.0,263.0,54.0,3213.0,3.0,0.048884165781083955,0.002656748140276302,0.1473389355742297,0.030252100840336135,1.8,matched
2011,1,10397,11292,primary,5639.0,1787.0,995089.3800000001,213318081.5072,176.46557545664126,6688.962836443985,False,1303.0,31.0,1.0,0.0,1271.0,0.0,228.0,45.0,3462.0,3.0,0.023791250959324637,0.0007674597083653108,0.17938630999213218,0.03540519276160504,2.7238394964594805,matched
2011,1,10397,11298,primary,9352.0,3119.0,1818035.1,471844146.85580003,194.40067365269462,12662.200458891784,False,2338.0,92.0,3.0,0.0,2243.0,0.0,342.0,79.0,-2039.0,3.0,0.03934987168520103,0.0012831479897348161,0.15247436469014714,0.03522068658047258,-0.9090503789567543,matched
2011,1,10397,11433,primary,3967.0,1571.0,690673.95,162876749.2119,174.10485253340053,10745.415426894066,False,1072.0,26.0,3.0,0.0,1043.0,0.0,192.0,38.0,5612.0,3.0,0.024253731343283583,0.002798507462686567,0.1840843720038351,0.0364333652924257,5.380632790028764,matched
2011,1,10397,11618,primary,4127.0,2034.0,1116947.1099999999,416220652.0079,270.64383571601644,27604.991971306197,False,1245.0,126.0,6.0,0.0,1113.0,0.0,268.0,83.0,6152.0,3.0,0.10120481927710843,0.004819277108433735,0.2407906558849955,0.07457322551662174,5.5274034141958674,matched
2011,1,10397,11697,primary,9541.0,2100.0,1082025.56,155353737.62640002,113.40798239178284,3421.381613086789,False,1971.0,51.0,2.0,0.0,1918.0,0.0,346.0,66.0,6426.0,3.0,0.0258751902587519,0.0010147133434804667,0.18039624608967675,0.03441084462982273,3.3503649635036497,matched
2011,1,10397,12173,primary,323.0,211.0,189857.78,141076102.82000002,587.7949845201239,91265.1763587459,False,90.0,1.0,0.0,0.0,89.0,0.0,21.0,3.0,-926.0,3.0,0.011111111111111112,0.0,0.23595505617977527,0.033707865168539325,-10.404494382022472,matched
2011,1,10397,12266,primary,2620.0,2000.0,625796.4,198139430.6044,238.85358778625954,18574.70047354001,False,1139.0,40.0,1.0,0.0,1098.0,0.0,238.0,56.0,5416.0,3.0,0.03511852502194908,0.000877963125548727,0.2167577413479053,0.051001821493624776,4.932604735883425,matched
2011,1,10397,12478,primary,1293.0,608.0,244368.38,62837298.7988,188.99333333333334,12879.585538540858,False,594.0,20.0,1.0,0.0,573.0,0.0,107.0,28.0,1620.0,3.0,0.03367003367003367,0.0016835016835016834,0.18673647469458987,0.04886561954624782,2.8272251308900525,matched
2011,1,10397,12889,primary,5513.0,1303.0,1236455.61,343468884.6429,224.27999455831673,12000.113760293803,False,994.0,17.0,1.0,0.0,976.0,0.0,200.0,35.0,2322.0,3.0,0.01710261569416499,0.001006036217303823,0.20491803278688525,0.035860655737704916,2.3790983606557377,matched
2011,1,10397,12892,primary,7115.0,1945.0,1615686.59,508280416.4317,227.08174139142656,19871.74870438849,False,1218.0,22.0,4.0,0.0,1192.0,0.0,343.0,58.0,8032.0,3.0,0.0180623973727422,0.003284072249589491,0.287751677852349,0.04865771812080537,6.738255033557047,matched
2011,1,10397,12953,primary,12598.0,3193.0,2302494.71,551734308.2493,182.76668598190187,10391.727306853456,False,2609.0,206.0,11.0,0.0,2392.0,0.0,534.0,174.0,14660.0,3.0,0.07895745496358758,0.004216174779609045,0.22324414715719063,0.07274247491638795,6.12876254180602,matched
2011,1,10397,13204,primary,6834.0,1862.0,1072529.8699999999,212628645.7355,156.94027948492828,6483.100407048027,False,2276.0,46.0,1.0,0.0,2229.0,0.0,422.0,83.0,11033.0,3.0,0.020210896309314587,0.0004393673110720562,0.18932256617317184,0.037236428891879766,4.949753252579632,matched
2011,1,10397,13232,primary,3684.0,1220.0,540730.49,99094546.9707,146.77809174809988,5354.820167884092,False,1112.0,69.0,2.0,0.0,1041.0,0.0,166.0,32.0,2847.0,3.0,0.06205035971223022,0.0017985611510791368,0.15946205571565802,0.03073967339097022,2.7348703170028816,matched
2011,1,10397,13303,primary,4524.0,1677.0,705687.69,143826713.8259,155.98755305039788,7459.81826812826,False,1522.0,71.0,2.0,0.0,1449.0,0.0,264.0,66.0,5563.0,3.0,0.04664914586070959,0.001314060446780552,0.18219461697722567,0.045548654244306416,3.8391994478951,matched
2011,1,10397,13487,primary,3762.0,1522.0,685402.4500000001,158017985.0967,182.19097554492294,8810.165893226935,False,1384.0,36.0,1.0,0.0,1347.0,0.0,255.0,58.0,5423.0,3.0,0.02601156069364162,0.000722543352601156,0.18930957683741648,0.04305864884929473,4.025983667409057,matched
2011,1,10397,13930,primary,6478.0,3189.0,1167266.95,267002563.12849998,180.18940259339303,8748.599682153137,False,1779.0,113.0,0.0,0.0,1666.0,0.0,453.0,153.0,18183.0,3.0,0.06351883080382237,0.0,0.27190876350540216,0.09183673469387756,10.914165666266507,matched
2011,1,10397,14100,primary,7316.0,2856.0,1277610.3099999998,302366530.6413,174.63235511208308,10833.028060486813,False,1577.0,87.0,3.0,0.0,1487.0,0.0,272.0,76.0,2343.0,3.0,0.055168040583386174,0.0019023462270133164,0.18291862811028917,0.05110961667787491,1.5756556825823806,matched
2011,1,10397,14107,primary,3796.0,1466.0,810385.29,218910552.11089998,213.48400684931508,12093.322789767066,False,988.0,13.0,0.0,0.0,975.0,0.0,159.0,30.0,961.0,3.0,0.013157894736842105,0.0,0.16307692307692306,0.03076923076923077,0.9856410256410256,matched
2011,1,10397,14635,primary,1819.0,875.0,291260.95999999996,60693242.9622,160.12147333699832,7727.3825846352265,False,1107.0,27.0,0.0,0.0,1080.0,0.0,210.0,34.0,4653.0,3.0,0.024390243902439025,0.0,0.19444444444444445,0.03148148148148148,4.308333333333334,matched
2011,1,10397,14679,primary,1193.0,663.0,424312.06,187562551.71940002,355.6681139983236,30719.431343215838,False,438.0,10.0,0.0,0.0,428.0,0.0,81.0,10.0,79.0,3.0,0.0228310502283105,0.0,0.18925233644859812,0.02336448598130841,0.18457943925233644,matched
2011,1,10397,14747,primary,2226.0,1030.0,605648.48,220182570.6818,272.0792812219227,24886.867731468985,False,530.0,8.0,0.0,0.0,522.0,0.0,177.0,25.0,6432.0,3.0,0.01509433962264151,0.0,0.3390804597701149,0.04789272030651341,12.32183908045977,matched
2011,1,10397,14771,primary,3931.0,1460.0,1026608.9,344313301.54,261.15718646654796,19386.163727927342,False,636.0,12.0,2.0,0.0,622.0,0.0,175.0,46.0,4997.0,3.0,0.018867924528301886,0.0031446540880503146,0.28135048231511256,0.07395498392282958,8.033762057877814,matched
2011,1,10397,14869,primary,1237.0,656.0,419435.46,173065396.984,339.07474535165727,24935.67113423183,False,764.0,13.0,1.0,0.0,750.0,0.0,149.0,24.0,2653.0,3.0,0.017015706806282723,0.0013089005235602095,0.19866666666666666,0.032,3.537333333333333,matched
2011,1,10397,15016,primary,2827.0,1251.0,479523.75,103032759.3703,169.62283339228864,7674.065163213487,False,932.0,50.0,0.0,0.0,882.0,0.0,150.0,29.0,3773.0,3.0,0.0536480686695279,0.0,0.17006802721088435,0.032879818594104306,4.277777777777778,matched
2011,1,10397,15304,primary,4989.0,1690.0,804840.54,165359834.8256,161.32301864101024,7119.769370242386,False,1736.0,47.0,1.0,0.0,1688.0,0.0,266.0,59.0,5454.0,3.0,0.02707373271889401,0.000576036866359447,0.15758293838862558,0.03495260663507109,3.231042654028436,matched
2011,1,10721,10397,primary,5744.0,1862.0,1154404.48,301895858.211,200.97571030640668,12167.235003847833,False,1291.0,85.0,2.0,0.0,1204.0,0.0,307.0,68.0,10947.0,3.0,0.06584043377226956,0.001549186676994578,0.2549833887043189,0.05647840531561462,9.0921926910299,matched
2011,1,10721,10821,primary,7332.0,1586.0,659328.1499999999,72916322.81909999,89.92473404255318,1858.4853087263218,False,1611.0,97.0,0.0,0.0,1514.0,0.0,352.0,124.0,18181.0,3.0,0.06021104903786468,0.0,0.23249669749009247,0.08190224570673713,12.008586525759577,matched
2011,1,10721,11278,primary,10558.0,2546.0,1374043.27,241185858.8527,130.14238207993938,5906.856849212985,False,2456.0,195.0,6.0,0.0,2255.0,0.0,427.0,118.0,7188.0,3.0,0.07939739413680781,0.0024429967426710096,0.1893569844789357,0.05232815964523282,3.1875831485587582,matched
2011,1,10721,11292,primary,4277.0,1552.0,862294.18,248868706.498,201.61191956979192,17540.313685840614,False,589.0,19.0,1.0,0.0,569.0,0.0,178.0,39.0,4845.0,3.0,0.03225806451612903,0.001697792869269949,0.31282952548330406,0.06854130052724078,8.51493848857645,matched
