Year,Month,DOT_ID_Reporting_Airline,Reporting_Airline,flights,cancelled,diverted,cancelled_and_diverted,delay_observed,delay_missing_eligible,delayed_15,delayed_60,arrival_delay_sum,cancellation_rate,diversion_rate,delay_15_rate,delay_60_rate,mean_arrival_delay
2023,1,19393,WN,112430,3234,197,0,108999,0,21830,6550,535366.0,0.028764564617984524,0.0017522013697411722,0.20027706676208037,0.06009229442471949,4.9116597399976145
2023,1,19690,HA,6697,72,9,0,6616,0,1473,285,60411.0,0.010751082574286995,0.0013438853217858744,0.2226420798065296,0.04307738814993954,9.131045949214027
2023,1,19790,DL,75174,586,169,0,74419,0,15242,5231,476472.0,0.007795248357144758,0.0022481177002687098,0.2048132869294132,0.07029118907805802,6.402558486408041
2023,1,19805,AA,74999,1417,128,0,73454,0,16691,5957,792354.0,0.018893585247803303,0.0017066894225256336,0.22723064775233479,0.0810983744928799,10.78707762681406
2023,1,19930,AS,19801,280,100,0,19421,0,4111,1043,63431.0,0.01414069996464825,0.005050249987374375,0.21167808042840225,0.05370475258740538,3.2661037021780546
2023,1,19977,UA,56657,415,140,0,56102,0,12965,4823,466527.0,0.007324778932876785,0.0024710097604885538,0.23109693059070976,0.08596841467327368,8.31569284517486
2023,1,20304,OO,50347,1670,299,0,48378,0,11170,4214,537705.0,0.033169801577055236,0.005938784833257195,0.2308900740005788,0.08710570920666419,11.114659555996527
2023,1,20363,9E,16926,249,40,0,16637,0,3574,1456,119862.0,0.014711095356256646,0.0023632281696797826,0.21482238384324098,0.08751577808499128,7.20454408847749
2023,1,20368,G4,8615,115,22,0,8478,0,2412,884,133974.0,0.013348810214741729,0.0025536854323853744,0.28450106157112526,0.10426987497051192,15.802547770700636
2023,1,20397,OH,15456,250,41,0,15165,0,2220,784,8510.0,0.016174948240165632,0.0026526915113871635,0.14638971315529178,0.05169798878997692,0.5611605670952852
2023,1,20398,MQ,18849,482,42,0,18325,0,4274,1229,134192.0,0.0255716483633084,0.002228234919624383,0.23323328785811734,0.0670668485675307,7.322892223738063
2023,1,20409,B6,23249,194,77,0,22978,0,6084,2501,242467.0,0.008344444922362252,0.0033119704073293474,0.2647750021759944,0.10884324136130212,10.552136826529724
2023,1,20416,NK,21876,507,21,0,21348,0,6209,2399,296634.0,0.023176083379045528,0.0009599561162918266,0.29084691774405097,0.1123758665917182,13.895165823496347
2023,1,20436,F9,13285,438,19,0,12828,0,4505,1749,270786.0,0.032969514490026344,0.0014301844185171245,0.35118490801372,0.13634237605238542,21.108980355472404
2023,1,20452,YX,24476,386,41,0,24049,0,3953,1332,-39000.0,0.015770550743585552,0.001675110312142507,0.16437273899122626,0.055386918374984405,-1.6216890515198137
2023,2,19393,WN,101455,2143,149,0,99163,0,15830,3203,-23469.0,0.021122665221033957,0.0014686314129416984,0.15963615461412017,0.032300353962667526,-0.23667093573207748
2023,2,19690,HA,5997,46,7,0,5944,0,1538,295,69389.0,0.00767050191762548,0.001167250291812573,0.25874831763122474,0.04962987886944818,11.67378869448183
2023,2,19790,DL,69152,968,121,0,68063,0,10846,3517,148451.0,0.013998149005090235,0.0017497686256362794,0.15935236472092032,0.051672714984646574,2.1810822326374093
2023,2,19805,AA,71289,1447,110,0,69732,0,15124,4954,661797.0,0.020297661630826636,0.001543015051410456,0.21688751218952562,0.07104342339241668,9.490578213732576
2023,2,19930,AS,17913,573,89,0,17251,0,3911,1056,91092.0,0.03198794171830514,0.00496845866130743,0.22671149498579793,0.06121384267578691,5.280389542635209
2023,2,19977,UA,53408,398,84,0,52926,0,10960,3326,246923.0,0.0074520671060515275,0.001572798082684242,0.20708158561009712,0.06284245928277217,4.665438536825001
2023,2,20304,OO,50486,1351,155,0,48980,0,9063,3411,301973.0,0.026759893831953412,0.003070158063621598,0.18503470804409963,0.06964066966108616,6.16523070641078
