Year,Month,DOT_ID_Reporting_Airline,Reporting_Airline,flights,cancelled,diverted,cancelled_and_diverted,delay_observed,delay_missing_eligible,delayed_15,delayed_60,arrival_delay_sum,cancellation_rate,diversion_rate,delay_15_rate,delay_60_rate,mean_arrival_delay
2016,1,19393,WN,104154,2640,179,0,101335,0,14103,3083,-45259.0,0.02534708220519615,0.0017186089828523149,0.13917205309123204,0.03042384171312972,-0.44662752257364186
2016,1,19690,HA,6279,4,5,0,6270,0,510,36,-10214.0,0.0006370441153049849,0.0007963051441312311,0.08133971291866028,0.005741626794258373,-1.6290271132376395
2016,1,19790,DL,69711,974,88,0,68649,0,9234,2745,-57578.0,0.013971969990388891,0.0012623545781870868,0.13451033518332386,0.03998601581960407,-0.8387303529548864
2016,1,19805,AA,75580,2720,124,0,72736,0,12444,3240,140691.0,0.03598835670812384,0.001640645673458587,0.17108446986361636,0.04454465464144303,1.9342691377034755
2016,1,19930,AS,14205,139,50,0,14016,0,1655,392,-54982.0,0.009785286870820134,0.0035198873636043647,0.11807933789954338,0.027968036529680364,-3.922802511415525
2016,1,19977,UA,39761,1336,56,0,38369,0,5571,1881,-110849.0,0.03360076456829557,0.001408415281305802,0.14519533998801115,0.049023951627616046,-2.889024994135891
2016,1,20304,OO,47619,984,194,0,46441,0,9499,3476,345826.0,0.020664020664020663,0.004074004074004074,0.20453909261213152,0.0748476561658879,7.44656661139941
2016,1,20366,EV,41970,1427,95,0,40448,0,6375,2124,65853.0,0.034000476530855375,0.0022635215630212057,0.15760977056962025,0.0525118670886076,1.6280903876582278
2016,1,20409,B6,23018,897,52,0,22069,0,6098,1993,223509.0,0.03896950212876879,0.0022591015726822487,0.2763151932575105,0.09030767139426345,10.127735737912909
2016,1,20416,NK,11047,308,10,0,10729,0,3210,1039,140848.0,0.027880872635104553,0.0009052231375033946,0.2991891136172989,0.0968403392674061,13.12778450927393
2016,1,20436,F9,7099,77,4,0,7018,0,978,348,-13055.0,0.010846598112410198,0.0005634596422031273,0.13935594186377886,0.049586776859504134,-1.860216585921915
2016,1,21171,VX,5384,159,7,0,5218,0,1205,456,39739.0,0.02953194650817236,0.001300148588410104,0.23093139133767726,0.08738980452280568,7.615753162131084
2016,2,19393,WN,97225,1415,168,0,95642,0,10244,2348,-271036.0,0.01455386988943173,0.0017279506299820006,0.10710775600677526,0.024549883942201124,-2.833859601430334
2016,2,19690,HA,5851,3,9,0,5839,0,464,45,-7553.0,0.0005127328661767219,0.0015381985985301657,0.0794656619284124,0.007706799109436548,-1.2935434149683165
2016,2,19790,DL,67771,313,169,0,67289,0,8720,2786,-107027.0,0.004618494636348881,0.0024936919921500346,0.1295902747848831,0.04140349834296839,-1.5905571490139547
2016,2,19805,AA,71440,1003,137,0,70300,0,10999,3326,62780.0,0.014039753639417693,0.0019176931690929452,0.15645803698435276,0.047311522048364155,0.8930298719772404
2016,2,19930,AS,13399,79,64,0,13256,0,1293,319,-77400.0,0.00589596238525263,0.004776475856407195,0.09754073627036813,0.024064574532287265,-5.83886541943271
2016,2,19977,UA,38944,348,59,0,38537,0,4957,2062,-137593.0,0.008935907970419063,0.0015149958915365654,0.1286296286685523,0.053507019228274125,-3.570412849988323
2016,2,20304,OO,45616,1092,131,0,44393,0,7025,2528,145859.0,0.023938968782883197,0.0028717993686425817,0.15824566936228684,0.05694591489649269,3.2856306174396863
2016,2,20366,EV,39926,1465,120,0,38341,0,7013,2575,157149.0,0.036692881831388066,0.0030055602865300805,0.18291124383818888,0.0671604809472888,4.098719386557471
2016,2,20409,B6,21776,559,75,0,21142,0,6128,2524,349848.0,0.025670462894930197,0.003444158706833211,0.28984958849683096,0.11938321823857724,16.547535710907198
2016,2,20416,NK,10354,404,12,0,9938,0,3398,1381,192308.0,0.03901873672010817,0.0011589723778249951,0.34191990340108674,0.13896156168243107,19.35077480378346
2016,2,20436,F9,6646,104,16,0,6526,0,725,285,-36647.0,0.015648510382184774,0.0024074631357207344,0.11109408519767086,0.04367146797425682,-5.615537848605578
2016,2,21171,VX,4941,38,9,0,4894,0,714,300,6141.0,0.007690750860149767,0.0018214936247723133,0.14589293011851245,0.06129955046996322,1.2548017981201471
2016,3,19393,WN,112003,1278,217,0,110508,0,19649,4404,359517.0,0.011410408649768309,0.0019374481040686411,0.1778061316827741,0.03985231838418938,3.2533119774134
2016,3,19690,HA,6355,9,5,0,6341,0,634,55,-1666.0,0.0014162077104642014,0.0007867820613690008,0.09998422961677969,0.008673710771171739,-0.26273458445040215
2016,3,19790,DL,78210,58,142,0,78010,0,9300,2677,-167605.0,0.0007415931466564378,0.001815624600434727,0.11921548519420587,0.03431611331880528,-2.1485066017177283
2016,3,19805,AA,79119,431,174,0,78514,0,14702,4240,280778.0,0.005447490489010225,0.002199218898115497,0.18725322872353975,0.05400310772601065,3.5761520238428814
2016,3,19930,AS,14781,108,49,0,14624,0,1854,428,-24088.0,0.007306677491374061,0.0033150666396048983,0.12677789934354486,0.029266958424507657,-1.6471553610503282
2016,3,19977,UA,44250,483,77,0,43690,0,7799,3102,89767.0,0.010915254237288136,0.0017401129943502825,0.1785076676585031,0.07100022888532845,2.0546349279011213
2016,3,20304,OO,52057,1214,189,0,50654,0,9683,3518,373570.0,0.023320590890754365,0.0036306356493843285,0.19115963201326647,0.0694515734196707,7.374935839222964
2016,3,20366,EV,44584,611,143,0,43830,0,6838,2439,121215.0,0.013704467970572403,0.0032074286739637537,0.15601186402007758,0.05564681724845996,2.7655715263518137
2016,3,20409,B6,23825,118,60,0,23647,0,5533,1881,172336.0,0.0049527806925498425,0.0025183630640083945,0.23398316911236097,0.07954497399247262,7.287858925022202
2016,3,20416,NK,11246,174,20,0,11052,0,3790,1281,189917.0,0.015472167881913568,0.0017784101013693758,0.342924357582338,0.11590662323561346,17.183948606587045
2016,3,20436,F9,7057,181,18,0,6858,0,1385,650,34516.0,0.025648292475556184,0.0025506589202210573,0.20195392242636337,0.094779819189268,5.032954214056576
2016,3,21171,VX,5635,68,9,0,5558,0,1402,566,60660.0,0.012067435669920142,0.0015971606033717836,0.2522490104354084,0.10183519251529327,10.913997840949982
2016,4,19393,WN,107855,968,184,0,106703,0,19055,4355,432909.0,0.008975012748597654,0.0017059941588243475,0.1785797962569,0.040814222655408,4.057139911717571
2016,4,19690,HA,6239,6,5,0,6228,0,359,31,-12347.0,0.0009616925789389325,0.0008014104824491104,0.05764290301862556,0.00497752087347463,-1.9824983943481054
2016,4,19790,DL,76607,53,94,0,76460,0,7294,2104,-345789.0,0.0006918427819912018,0.0012270419152296788,0.09539628563955009,0.027517656290871044,-4.522482343709129
2016,4,19805,AA,74859,660,170,0,74029,0,11513,3274,137573.0,0.00881657516130325,0.0022709360263962917,0.15552013400153994,0.044225911467127746,1.858366315903227
2016,4,19930,AS,14662,16,18,0,14628,0,1520,271,-48677.0,0.0010912563088255353,0.0012276633474287274,0.10391030899644517,0.018526114301339897,-3.3276592835657643
2016,4,19977,UA,43281,650,81,0,42550,0,5718,2122,-98415.0,0.015018137288879647,0.0018714909544603868,0.13438307873090483,0.049870740305522916,-2.3129259694477087
2016,4,20304,OO,50117,694,88,0,49335,0,6376,2026,26396.0,0.013847596623900074,0.0017558912145579344,0.129238877064964,0.04106618019661498,0.5350359785142393
2016,4,20366,EV,40773,623,90,0,40060,0,5118,1762,-3402.0,0.01527971942216663,0.002207343094695019,0.12775836245631553,0.04398402396405392,-0.08492261607588616
2016,4,20409,B6,23187,173,49,0,22965,0,4662,1756,119219.0,0.007461077327812999,0.0021132531159701556,0.203004572175049,0.07646418462878293,5.191334639669062
2016,4,20416,NK,11281,193,22,0,11066,0,2740,835,101194.0,0.01710841237478947,0.0019501817214785924,0.247605277426351,0.07545635279233688,9.144587023314658
2016,4,20436,F9,7125,28,12,0,7085,0,973,301,-22420.0,0.003929824561403509,0.0016842105263157896,0.13733239237826395,0.042484121383203954,-3.1644318983768525
2016,4,21171,VX,5644,45,6,0,5593,0,1279,366,31998.0,0.007973068745570517,0.0010630758327427356,0.2286787055247631,0.06543894153406044,5.721079921330234
2016,5,19393,WN,109847,610,390,0,108847,0,19602,4514,479427.0,0.005553178511930231,0.0035503928191029342,0.18008764596176285,0.04147105570204048,4.4045954413075235
2016,5,19690,HA,6432,17,7,0,6408,0,482,51,-3266.0,0.002643034825870647,0.0010883084577114428,0.07521847690387017,0.007958801498127341,-0.5096754057428214
2016,5,19790,DL,80556,39,118,0,80399,0,9005,2341,-170655.0,0.00048413525994339343,0.0014648195044441135,0.11200388064528166,0.029117277578079328,-2.1226010273759623
2016,5,19805,AA,78678,493,263,0,77922,0,14440,4416,391323.0,0.006266046417041613,0.003342738757975546,0.18531351864685197,0.05667205667205667,5.021983521983522
2016,5,19930,AS,15385,33,31,0,15321,0,1433,256,-64150.0,0.0021449463763405915,0.0020149496262593437,0.09353175380197115,0.0167090920958162,-4.187063507603942
2016,5,19977,UA,45914,247,172,0,45495,0,7052,2564,-6848.0,0.005379622773010411,0.0037461340767521887,0.15500604462028794,0.05635784152104627,-0.15052203538850423
2016,5,20304,OO,51253,305,151,0,50797,0,7196,2621,104289.0,0.005950871168516965,0.002946169004741186,0.14166190916786425,0.05159753528751698,2.0530543142311553
2016,5,20366,EV,41294,452,133,0,40709,0,6249,2145,113834.0,0.010945900130769603,0.0032208068968857463,0.15350413913385247,0.05269105111891719,2.7962858335994496
