Year,Month,DOT_ID_Reporting_Airline,Reporting_Airline,flights,cancelled,diverted,cancelled_and_diverted,delay_observed,delay_missing_eligible,delayed_15,delayed_60,arrival_delay_sum,cancellation_rate,diversion_rate,delay_15_rate,delay_60_rate,mean_arrival_delay
2014,1,19393,WN,91564,4439,427,0,86698,0,29017,9251,1517229.0,0.048479751867546196,0.004663404831593203,0.3346905349604374,0.10670373018985443,17.50016148008028
2014,1,19690,HA,6019,1,11,0,6007,0,422,44,-2694.0,0.0001661405549094534,0.0018275461040039873,0.07025137339770268,0.007324787747627768,-0.44847677709339107
2014,1,19790,DL,59030,2997,105,0,55928,0,14498,5456,754457.0,0.05077079451126546,0.0017787565644587498,0.2592261479044486,0.09755399799742526,13.489790444857674
2014,1,19805,AA,45401,1574,116,0,43711,0,9381,2664,263255.0,0.03466883989339442,0.0025550098015462213,0.21461417034613714,0.06094575736084738,6.022625883644849
2014,1,19930,AS,12403,152,82,0,12169,0,1279,325,-48357.0,0.012255099572684029,0.0066113037168427,0.10510313090640151,0.02670720683704495,-3.9737858492891776
2014,1,19977,UA,39225,1888,46,0,37291,0,9390,3144,368667.0,0.04813256851497769,0.001172721478648821,0.25180338419457776,0.084309887104127,9.886219194980022
2014,1,20304,OO,50484,2663,243,0,47578,0,11094,3452,393500.0,0.052749385944061485,0.004813406227715712,0.23317499684728235,0.07255454201521712,8.270629282441465
2014,1,20355,US,34763,1052,60,0,33651,0,6690,1558,137151.0,0.030262060236458305,0.0017259730172884964,0.19880538468396183,0.046298772696205165,4.075688686814656
2014,1,20366,EV,58508,8987,156,0,49365,0,16611,7006,972120.0,0.1536029260955767,0.0026663020441649006,0.33649346703129746,0.14192241466626151,19.692494682467334
2014,1,20398,MQ,34382,4205,86,0,30091,0,9783,3978,566481.0,0.12230236751788727,0.0025013088243848527,0.3251138214083945,0.13219899637765445,18.825595693064372
2014,1,20409,B6,20219,2164,89,0,17966,0,6462,2743,454022.0,0.10702804292991741,0.004401800286858895,0.35967939441166646,0.15267727930535455,25.271178893465436
2014,1,20436,F9,5736,84,5,0,5647,0,2100,752,126670.0,0.014644351464435146,0.0008716875871687587,0.3718788737382681,0.1331680538338941,22.43137949353639
2014,1,20437,FL,9405,588,41,0,8776,0,2581,664,95993.0,0.06251993620414673,0.004359383306751728,0.2940975387420237,0.07566089334548769,10.938126709206928
2014,1,21171,VX,4810,58,10,0,4742,0,686,218,4601.0,0.012058212058212059,0.002079002079002079,0.14466469843947702,0.04597216364403205,0.9702657106706031
2014,2,19393,WN,84581,2698,177,0,81706,0,22155,4997,806635.0,0.031898416902141145,0.0020926685662264574,0.27115511712726115,0.061158299268107605,9.872408391060633
2014,2,19690,HA,5418,4,4,0,5410,0,526,59,4413.0,0.0007382798080472499,0.0007382798080472499,0.09722735674676525,0.010905730129390018,0.8157116451016636
2014,2,19790,DL,54101,2556,84,0,51461,0,9546,2458,260104.0,0.047244967745513025,0.00155265152215301,0.18549969880103379,0.04776432638308622,5.054390703639649
2014,2,19805,AA,41036,1960,112,0,38964,0,8607,2626,271633.0,0.047762939857685933,0.002729310849010625,0.22089621188789652,0.06739554460527666,6.971383841494713
2014,2,19930,AS,11332,134,40,0,11158,0,1450,379,-24744.0,0.011824920578891633,0.0035298270384751147,0.12995160423014876,0.033966660691880264,-2.2176017207384837
2014,2,19977,UA,36379,1353,60,0,34966,0,9514,2912,375606.0,0.037191786470216336,0.0016493031694109238,0.27209289023622946,0.08328090144712005,10.742035119830692
2014,2,20304,OO,45555,2188,178,0,43189,0,10785,3619,443936.0,0.04802985402261003,0.003907364723960048,0.24971636296279145,0.08379448470675403,10.278913612262382
2014,2,20355,US,31685,2100,116,0,29469,0,6089,1671,158776.0,0.06627741833675241,0.003661038346220609,0.2066239098713903,0.056703654687977195,5.387899148257491
2014,2,20366,EV,53434,6263,153,0,47018,0,15504,6086,839121.0,0.11721001609462141,0.0028633454354905115,0.3297460547024544,0.12943978901697223,17.84680335190778
